name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Colston Loveland,Tight End,Michigan,Big Ten,78.0,248.0,,,,,,,21.0,3,1,1,1,0,0,0,Michigan,1.0,1.0,0.0,Michigan,36.0,56.0,5.0,582.0,10.4,1.0,0.0,0.0,-2.0,-2.0,54.0,45.0,4.0,649.0,14.4,,,,,,Michigan,45.0,16.0,2.0,235.0,14.7,1.0,0.0,0.0,-8.0,-8.0,,,,,,,,,,,,,,,,,,,,
Tyler Warren,Tight End,Penn State,Big Ten,78.0,256.0,,,,,,,23.0,4,0,1,1,1,1,0,Penn State,2.0,1.0,0.0,Penn State,38.0,104.0,8.0,1233.0,11.9,26.0,48.0,4.0,218.0,8.4,75.0,34.0,7.0,422.0,12.4,,,,,,Penn State,38.0,10.0,3.0,123.0,12.3,,,,,,Penn State,29.0,5.0,1.0,61.0,12.2,6.0,3.0,2.0,6.0,1.0,,,,0.0,0.0,2.0,,,
Mason Taylor,Tight End,LSU,SEC,77.0,251.0,,,,,,,21.0,3,1,1,1,0,0,0,LSU,,,,LSU,33.0,55.0,2.0,546.0,9.9,,,,,,25.0,36.0,1.0,348.0,9.7,,,,,,LSU,38.0,38.0,3.0,414.0,10.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Terrance Ferguson,Tight End,Oregon,Big Ten,77.0,247.0,4.63,,39.0,122.0,,,22.0,4,1,1,1,1,0,0,Oregon,,,,Oregon,62.0,43.0,3.0,591.0,13.7,,,,,,33.0,42.0,6.0,414.0,9.9,,,,,,Oregon,53.0,32.0,5.0,391.0,12.2,,,,,,Oregon,15.0,17.0,2.0,141.0,8.3,,,,,,,,,,,,1.0,0.0,0.0
Elijah Arroyo,Tight End,Miami,ACC,77.0,250.0,,22.0,,,,,22.0,4,1,1,1,1,0,0,Miami,,,,Miami,74.0,35.0,7.0,590.0,16.9,,,,,,11.0,1.0,0.0,11.0,11.0,,,,,,Miami,29.0,5.0,0.0,66.0,13.2,,,,,,Miami,29.0,5.0,1.0,86.0,17.2,,,,,,,,,,,,1.0,1.0,0.0
Harold Fannin Jr.,Tight End,Bowling Green,Mid-American,75.0,241.0,4.71,22.0,34.0,118.0,6.97,4.39,21.0,3,1,1,1,0,0,0,Bowling Green,1.0,0.0,0.0,Bowling Green,65.0,117.0,10.0,1550.0,13.2,9.0,31.0,1.0,65.0,7.2,56.0,44.0,6.0,623.0,14.2,14.0,15.0,0.0,41.0,2.9,Bowling Green,42.0,19.0,1.0,218.0,11.5,10.0,24.0,4.0,53.0,5.3,,,,,,,,,,,,,,,,,,,,
Gunnar Helm,Tight End,Texas,SEC,77.0,241.0,4.84,,30.0,,7.15,4.4,23.0,3,0,0,1,1,1,0,Texas,,,,Texas,49.0,60.0,7.0,786.0,13.1,,,,,,31.0,14.0,2.0,192.0,13.7,,,,,,Texas,19.0,5.0,0.0,44.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,Tight End,Notre Dame,FBS Independents,77.0,258.0,4.74,,31.0,115.0,7.25,4.4,22.0,4,1,1,1,1,0,0,Notre Dame,1.0,0.0,0.0,Notre Dame,33.0,43.0,3.0,421.0,9.8,,,,,,36.0,29.0,1.0,422.0,14.6,1.0,2.0,0.0,2.0,2.0,Notre Dame,18.0,3.0,1.0,39.0,13.0,7.0,4.0,1.0,11.0,1.6,Notre Dame,13.0,2.0,0.0,21.0,10.5,,,,,,,,,,,,,,
Oronde Gadsden II,Tight End,Syracuse,ACC,77.0,243.0,,,34.0,114.0,,,22.0,4,1,1,1,1,0,0,Syracuse,,,,Syracuse,39.0,72.0,7.0,922.0,12.8,1.0,12.0,0.0,12.0,12.0,17.0,7.0,1.0,67.0,9.6,,,,,,Syracuse,46.0,61.0,6.0,969.0,15.9,,,,,,Syracuse,14.0,2.0,0.0,24.0,12.0,,,,,,,,,,,,,,
Jackson Hawes,Tight End,Georgia Tech,ACC,77.0,253.0,4.82,16.0,34.5,121.0,,4.4,24.0,1,0,0,0,0,0,1,Georgia Tech,,,,,33.0,16.0,0.0,195.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
