name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Tetairoa McMillan,Wide Receiver,Arizona,Big 12,76.0,219.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,5.5,9.0,2.0,0.0,11.0,78.0,84.0,8.0,1319.0,15.7,,,,,,57.0,90.0,10.0,1402.0,15.6,1.0,3.0,0.0,3.0,3.0,,,,,,47.0,39.0,8.0,702.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Emeka Egbuka,Wide Receiver,Ohio State,Big Ten,73.0,202.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,3.3,8.0,7.0,0.0,23.0,68.0,81.0,10.0,1011.0,12.5,8.0,13.0,0.0,33.0,4.1,28.0,41.0,4.0,514.0,12.5,5.0,9.0,0.0,25.0,5.0,25.0,25.0,1.0,0.0,25.0,69.0,74.0,10.0,1151.0,15.6,11.0,27.0,2.0,87.0,7.9,,,,,,85.0,9.0,0.0,191.0,21.2,,,,,,-1.0,-1.0,1.0,0.0,-1.0,,,,,,6.8,18.0,11.0,0.0,75.0,29.0,67.0,20.0,0.0,580.0,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0
Matthew Golden,Wide Receiver,Texas,SEC,71.0,191.0,4.29,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,54.0,58.0,9.0,987.0,17.0,,,,,,39.0,38.0,6.0,404.0,10.6,,,,,,20.8,25.0,4.0,0.0,83.0,44.0,38.0,7.0,584.0,15.4,,,,,,20.4,31.0,14.0,0.0,285.0,,,,,,,,,,,,,,,,35.7,100.0,9.0,2.0,321.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Jayden Higgins,Wide Receiver,Iowa State,Big 12,76.0,214.0,4.47,,39.0,128.0,,,22.0,4,1,1,1,1,0,0,,,,,,,,,39.0,87.0,9.0,1183.0,13.6,,,,,,75.0,53.0,6.0,983.0,18.5,,,,,,,,,,,80.0,58.0,10.0,757.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
Luther Burden III,Wide Receiver,Missouri,SEC,72.0,206.0,4.41,,,,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,8.6,17.0,7.0,0.0,60.0,44.0,60.0,6.0,666.0,11.1,10.0,61.0,2.0,125.0,12.5,56.0,85.0,9.0,1205.0,14.2,8.0,20.0,0.0,38.0,4.8,,,,,,35.0,43.0,5.0,377.0,8.8,19.0,17.0,3.0,92.0,4.8,,,,,,,,,,,,,,,,7.8,24.0,4.0,1.0,31.0,,,,,,12.6,78.0,12.0,1.0,151.0,,,,,,,,,,,1.0,0.0,1.0,,,,,,
Tre Harris,Wide Receiver,Ole Miss,SEC,74.0,205.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,,,,,,70.0,61.0,7.0,1063.0,17.4,,,,,,56.0,54.0,8.0,985.0,18.2,,,,,,,,,,,64.0,66.0,10.0,954.0,14.5,5.0,8.0,0.0,22.0,4.4,,,,,,62.0,40.0,4.0,572.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Jack Bech,Wide Receiver,TCU,Big 12,73.0,214.0,,19.0,34.5,125.0,6.84,4.21,22.0,4,1,1,1,1,0,0,,,,,,,,,52.0,62.0,9.0,1034.0,16.7,0.0,7.0,0.0,7.0,0.0,34.0,12.0,0.0,146.0,12.2,3.0,7.0,0.0,-3.0,-1.0,18.4,27.0,5.0,0.0,92.0,29.0,16.0,1.0,200.0,12.5,,,,,,,,,,,40.0,43.0,3.0,489.0,11.4,,,,,,17.0,18.0,2.0,0.0,34.0,,,,,,0.8,11.0,4.0,0.0,3.0,,,,,,,,,,,,,,2.0,2.0,0.0,,,
Kyle Williams,Wide Receiver,Washington State,Pac-12,71.0,190.0,4.4,,36.5,119.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,66.0,70.0,14.0,1193.0,17.0,9.0,22.0,0.0,57.0,6.3,63.0,61.0,6.0,842.0,13.8,3.0,1.0,0.0,-10.0,-3.3,,,,,,49.0,40.0,5.0,541.0,13.5,1.0,12.0,0.0,12.0,12.0,,,,,,75.0,42.0,2.0,601.0,14.3,2.0,6.0,0.0,7.0,3.5,,,,,,36.0,36.0,1.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,Wide Receiver,Arkansas,SEC,76.0,214.0,4.43,17.0,39.5,129.0,6.85,4.05,23.0,2,0,0,0,1,1,0,1.0,1.0,0.0,,,,,,75.0,28.0,3.0,545.0,19.5,,,,,,36.0,34.0,2.0,351.0,10.3,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,
Pat Bryant,Wide Receiver,Illinois,Big Ten,74.0,204.0,4.61,,37.5,124.0,,,22.0,4,1,1,1,1,0,0,,,,,,,,,64.0,53.0,10.0,978.0,18.5,5.0,7.0,0.0,14.0,2.8,46.0,43.0,7.0,560.0,13.0,,,,,,21.3,27.0,4.0,0.0,85.0,43.0,33.0,2.0,450.0,13.6,1.0,3.0,0.0,3.0,3.0,,,,,,45.0,6.0,0.0,98.0,16.3,,,,,,,,,,,19.5,24.0,2.0,0.0,39.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
