name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Sam Hecht,Center,Kansas State,Big 12,76.0,303,5.1,28.0,101.0,7.75,4.71,0,0,0,0,0,0,0
Brian Parker II,Center,Duke,ACC,77.0,309,,,,,,0,0,0,0,0,0,0
Parker Brailsford,Center,Alabama,SEC,74.0,289,4.95,32.5,118.0,,4.72,0,0,0,0,0,0,0
Pat Coogan,Center,Indiana,Big Ten,77.0,311,,,,,,0,0,0,0,0,0,0
Jager Burton,Center,Kentucky,SEC,76.0,312,4.94,28.0,111.0,,,0,0,0,0,0,0,0
Matt Gulbin,Center,Michigan State,Big Ten,76.0,305,,,,,,0,0,0,0,0,0,0
Bryce Foster,Center,Kansas,Big 12,76.0,330,,,,,,0,0,0,0,0,0,0
Jaren Kump,Center,Utah,Pac-12,78.0,315,,,,,,0,0,0,0,0,0,0
Gus Zilinskas,Center,Rutgers,Big Ten,74.0,305,,,,,,0,0,0,0,0,0,0
Luke Petitbon,Center,Florida State,ACC,74.0,295,,,,,,0,0,0,0,0,0,0
Jackson Carsello,Center,Northwestern,Big Ten,76.0,300,,,,,,0,0,0,0,0,0,0
Gavin Gerhardt,Center,Cincinnati,Big 12,76.0,310,,,,,,0,0,0,0,0,0,0
