name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Mansoor Delane,Cornerback,LSU,SEC,72.0,187,,,,,,,4,0,0,0,0,0,0,LSU,11.0,1.0,0.0,29.0,0.0,0.0,45.0,,,,,,,,,,,0.0,2.0,0.0,0.0,Virginia Tech,7.0,0.0,0.0,34.0,0.0,1.0,54.0,,,,,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,2.5,52.0,32.0,1.0,0.0,32.0,,,,,,Virginia Tech,Virginia Tech,8.0,0.0,0.0,17.0,0.0,3.5,38.0,,,,,,0.0,1.0,0.0,0.0,,,,,
Jermod McCoy,Cornerback,Tennessee,SEC,73.0,188,,14.0,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Tennessee,7.0,0.0,0.0,26.0,0.0,0.5,44.0,,,,,,17.8,4.0,0.0,71.0,9.8,23.0,6.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colton Hood,Cornerback,Tennessee,SEC,72.0,193,4.44,,40.5,125.0,,,2,0,0,0,0,0,0,Tennessee,8.0,0.0,0.0,34.0,1.0,4.5,50.0,,,,,,,,,,,23.0,1.0,1.0,23.0,Colorado,6.0,0.0,0.0,20.0,0.0,1.0,23.0,19.8,38.0,6.0,0.0,119.0,52.5,2.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avieon Terrell,Cornerback,Clemson,ACC,71.0,186,,17.0,34.0,123.0,,,3,0,0,0,0,0,0,Clemson,8.0,0.0,3.0,30.0,0.0,4.5,48.0,,,,,,,,,,,,,,,Clemson,11.0,0.0,1.0,36.0,0.0,4.5,49.0,,,,,,4.5,2.0,0.0,9.0,,,,,,4.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,,,,,,Clemson,,,,,,,,,,,,,,,,,,,,,,
Brandon Cisse,Cornerback,South Carolina,SEC,72.0,189,,,41.0,131.0,,,3,0,0,0,0,0,0,South Carolina,5.0,1.0,0.0,19.0,0.0,1.5,27.0,,,,,,,,,,,0.0,1.0,0.0,0.0,NC State,5.0,0.0,0.0,15.0,0.0,1.5,28.0,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,,,,,,NC State,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Ponds,Cornerback,Indiana,Big Ten,69.0,182,,,43.5,,,,2,0,0,0,0,0,0,Indiana,10.0,0.0,0.0,43.0,3.0,4.0,60.0,33.0,22.0,1.0,1.0,33.0,,,,,,12.5,2.0,1.0,25.0,Indiana,9.0,0.0,0.0,35.0,1.0,4.5,55.0,,,,,,23.3,3.0,1.0,70.0,12.0,12.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keionte Scott,Cornerback,Miami (FL),,71.0,193,,,,,,,4,0,0,0,0,0,0,Miami,5.0,8.0,5.0,42.0,2.0,13.0,64.0,,,,,,15.0,29.0,2.0,0.0,30.0,55.0,2.0,2.0,110.0,Auburn,0.0,0.0,0.0,16.0,0.0,0.0,18.0,,,,,,,,,,7.6,34.0,14.0,0.0,107.0,5.0,2.0,0.0,35.0,1.0,2.0,42.0,,,,,13.9,74.0,16.0,1.0,222.0,Auburn,Auburn,3.0,2.0,1.0,35.0,0.0,4.0,53.0,11.3,18.0,3.0,0.0,34.0,0.0,1.0,0.0,0.0,9.6,22.0,14.0,0.0,134.0
Davison Igbinosun,Cornerback,Ohio State,Big Ten,74.0,189,4.45,,34.0,120.0,,,4,0,0,0,0,0,0,Ohio State,6.0,0.0,0.0,28.0,0.0,0.5,52.0,,,,,,,,,,,1.0,2.0,0.0,2.0,Ohio State,9.0,0.0,0.0,30.0,0.0,2.0,45.0,,,,,,22.5,2.0,0.0,45.0,,,,,,5.0,0.0,0.0,39.0,0.0,0.5,59.0,,,,,,,,,,Ohio State,Ole Miss,3.0,0.0,0.0,18.0,0.0,0.0,32.0,,,,,,,,,,,,,,
Malik Muhammad,Cornerback,Texas,SEC,72.0,182,4.42,,39.0,130.0,,,3,0,0,0,0,0,0,Texas,4.0,1.0,1.0,23.0,0.0,2.5,30.0,,,,,,,,,,,0.0,2.0,0.0,0.0,Texas,8.0,0.0,0.0,32.0,0.0,1.0,36.0,,,,,,,,,,,,,,,3.0,0.0,0.0,16.0,1.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Texas,,,,,,,,,,,,,,,,,,,,,,
Tacario Davis,Cornerback,Washington,Pac-12,76.0,194,4.41,,37.0,123.0,,,2,0,0,0,0,0,0,Washington,4.0,0.0,0.0,16.0,0.0,1.0,20.0,,,,,,,,,,,17.0,2.0,0.0,34.0,Arizona,6.0,1.0,0.0,25.0,0.0,2.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
