name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Arvell Reese,Defensive End,Ohio State,Big Ten,76.0,241,4.46,,,,,,2,0,0,0,0,0,0,Ohio State,2.0,5.0,6.5,34.0,0.0,10.0,69.0,,,,Ohio State,,,,0.0,2.0,0.5,18.0,0.0,3.5,43.0,,,,,,,,,,,,,,,,,,,,,,
David Bailey,Defensive End,Texas Tech,Big 12,76.0,251,4.5,,35.0,129.0,,,2,0,0,0,0,0,0,Texas Tech,3.0,10.0,14.5,32.0,0.0,19.5,51.0,0.0,0.0,1.0,Stanford,,,,0.0,8.0,6.0,22.0,0.0,8.0,31.0,,,,,,,,,,,,,,,,,,,,,,
Rueben Bain Jr.,Defensive End,Miami (FL),,74.0,263,,,,,,,3,0,0,0,0,0,0,Miami,1.0,5.0,9.5,30.0,0.0,15.5,54.0,,,,Miami,,,,0.0,1.0,3.5,14.0,0.0,5.5,23.0,1.0,4.0,7.5,21.0,0.0,12.0,42.0,,,,Miami,,,,,,,,,,,
T.J. Parker,Defensive End,Clemson,ACC,76.0,263,,,,,,,3,0,0,0,0,0,0,Clemson,1.0,7.0,5.0,18.0,0.0,9.0,37.0,0.0,0.0,3.0,Clemson,0.0,0.0,2.0,1.0,5.0,11.0,32.0,0.0,16.5,50.0,1.0,5.0,5.5,15.0,0.0,12.5,32.0,0.0,0.0,1.0,Clemson,,,,,,,,,,,
Keldric Faulk,Defensive End,Auburn,SEC,78.0,276,,,35.0,117.0,,,3,0,0,0,0,0,0,Auburn,4.0,6.0,2.0,23.0,0.0,5.0,27.0,0.0,0.0,1.0,Auburn,0.0,0.0,1.0,1.0,7.0,7.0,30.0,0.0,11.0,45.0,1.0,1.0,1.0,21.0,0.0,3.5,36.0,,,,Auburn,,,,,,,,,,,
Cashius Howell,Defensive End,Texas A&M,SEC,74.0,253,4.59,,32.5,115.0,,,2,0,0,0,0,0,0,Texas A&M,6.0,5.0,12.5,21.0,0.0,15.0,32.0,,,,Texas A&M,,,,7.0,8.0,4.0,26.0,0.0,8.5,40.0,,,,,,,,,,,,,,,,,,,,,,
Akheem Mesidor,Defensive End,Miami (FL),,75.0,259,,,,,,,4,0,0,0,0,0,0,Miami,0.0,6.0,12.5,38.0,0.0,17.5,63.0,,,,Miami,,,,0.0,2.0,5.5,17.0,0.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,,,,Miami,Miami,4.0,3.0,7.0,21.0,0.0,10.5,38.0,,,
Romello Height,Defensive End,Texas Tech,Big 12,75.0,239,4.64,,39.0,125.0,,,2,0,0,0,0,0,0,Texas Tech,1.0,13.0,9.5,19.0,0.0,11.0,37.0,0.0,0.0,1.0,Georgia Tech,,,,0.0,4.0,2.5,18.0,0.0,6.5,34.0,,,,,,,,,,,,,,,,,,,,,,
Gabe Jacas,Defensive End,Illinois,Big Ten,76.0,260,,30.0,,,,,4,0,0,0,0,0,0,Illinois,1.0,6.0,11.0,23.0,0.0,13.5,44.0,,,,Illinois,0.0,0.0,1.0,0.0,9.0,8.0,38.0,0.0,13.0,71.0,1.0,5.0,3.0,22.0,0.0,4.0,31.0,,,,Illinois,Illinois,0.0,5.0,4.0,13.0,0.0,5.0,32.0,,,
R Mason Thomas,Defensive End,Oklahoma,SEC,74.0,241,4.67,,,,,,4,0,0,0,0,0,0,Oklahoma,1.0,3.0,6.5,18.0,1.0,9.5,26.0,0.0,0.0,1.0,Oklahoma,0.0,0.0,1.0,1.0,11.0,9.0,13.0,1.0,12.5,23.0,1.0,2.0,1.0,4.0,0.0,2.5,8.0,,,,Oklahoma,Oklahoma,0.0,1.0,0.5,3.0,0.0,1.0,6.0,,,
Dani Dennis-Sutton,Defensive End,Penn State,Big Ten,78.0,256,4.63,,39.5,131.0,6.9,,4,0,0,0,0,0,0,Penn State,3.0,8.0,7.5,26.0,0.0,12.0,42.0,,,,Penn State,0.0,0.0,1.0,3.0,9.0,8.5,24.0,0.0,13.0,40.0,1.0,2.0,3.5,17.0,0.0,6.0,26.0,0.0,0.0,1.0,Penn State,Penn State,1.0,3.0,3.0,10.0,0.0,3.5,16.0,,,
Zion Young,Defensive End,Missouri,SEC,78.0,262,,,,,,,4,0,0,0,0,0,0,Missouri,2.0,14.0,6.5,20.0,0.0,15.5,42.0,,,,Missouri,0.0,0.0,1.0,3.0,5.0,2.5,14.0,1.0,5.5,41.0,0.0,7.0,1.5,8.0,0.0,4.5,26.0,,,,Michigan State,Michigan State,0.0,0.0,1.0,8.0,0.0,2.0,21.0,,,
Malachi Lawrence,Defensive End,UCF,Big 12,76.0,253,4.52,,40.0,130.0,,,3,0,0,0,0,0,0,UCF,2.0,3.0,7.0,18.0,0.0,11.0,28.0,,,,UCF,0.0,0.0,1.0,1.0,4.0,5.0,12.0,0.0,6.0,15.0,1.0,5.0,5.5,14.0,0.0,8.5,24.0,,,,UCF,,,,,,,,,,,
Derrick Moore,Defensive End,Michigan,Big Ten,76.0,255,,,,,,,4,0,0,0,0,0,0,Michigan,3.0,3.0,9.5,19.0,0.0,10.0,29.0,0.0,0.0,1.0,Michigan,0.0,0.0,1.0,2.0,4.0,4.0,16.0,0.0,6.0,23.0,2.0,4.0,5.0,20.0,0.0,6.0,34.0,0.0,0.0,1.0,Michigan,Michigan,0.0,2.0,2.0,6.0,0.0,2.0,7.0,,,
Joshua Josephs,Defensive End,Tennessee,SEC,75.0,242,,,,,,,4,0,0,0,0,0,0,Tennessee,2.0,6.0,2.0,17.0,1.0,5.0,33.0,0.0,0.0,2.0,Tennessee,0.0,0.0,2.0,3.0,8.0,1.5,17.0,0.0,9.0,39.0,1.0,3.0,3.0,11.0,0.0,4.5,20.0,,,,Tennessee,Tennessee,2.0,5.0,1.0,4.0,0.0,2.5,9.0,,,
