name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Peter Woods,Defensive Tackle,Clemson,ACC,74.0,298,,,,,,,3,0,0,0,0,0,0,Clemson,1.0,3.0,1.5,9.0,0.0,2.5,29.0,1.0,0.0,0.0,Clemson,,,,0.0,2.0,3.0,18.0,0.0,7.0,26.0,0.0,3.0,0.0,13.0,0.0,2.5,26.0,,,,Clemson,,,,,,,,,,,
Lee Hunter,Defensive Tackle,Texas Tech,Big 12,75.0,318,5.18,,21.5,100.0,,,3,0,0,0,0,0,0,Texas Tech,0.0,3.0,3.0,18.0,0.0,11.0,42.0,,,,UCF,,,,0.0,6.0,1.0,19.0,0.0,9.5,44.0,1.0,1.0,2.0,32.0,0.0,10.0,57.0,,,,UCF,,,,,,,,,,,
Christen Miller,Defensive Tackle,Georgia,SEC,76.0,321,,,,,,,3,0,0,0,0,0,0,Georgia,0.0,2.0,1.5,10.0,0.0,4.0,23.0,,,,Georgia,,,,1.0,1.0,1.5,12.0,0.0,3.5,27.0,0.0,0.0,1.0,9.0,0.0,4.0,14.0,,,,Georgia,,,,,,,,,,,
Caleb Banks,Defensive Tackle,Florida,SEC,78.0,327,5.04,,32.0,114.0,,,4,0,0,0,0,0,0,Florida,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,Florida,0.0,0.0,1.0,1.0,6.0,4.5,10.0,0.0,7.0,21.0,0.0,3.0,1.0,7.0,0.0,1.5,19.0,,,,Florida,Louisville,0.0,0.0,1.0,1.0,0.0,1.0,2.0,,,
Kayden McDonald,Defensive Tackle,Ohio State,Big Ten,74.0,326,,,,,,,3,0,0,0,0,0,0,Ohio State,1.0,2.0,3.0,31.0,0.0,9.0,65.0,0.0,0.0,1.0,Ohio State,,,,1.0,1.0,0.0,7.0,0.0,1.5,19.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,,,,Ohio State,,,,,,,,,,,
Domonique Orange,Defensive Tackle,Iowa State,Big 12,74.0,322,,,,,,,4,0,0,0,0,0,0,Iowa State,1.0,4.0,0.0,9.0,0.0,0.5,18.0,,,,Iowa State,,,,1.0,3.0,1.0,13.0,0.0,4.5,24.0,0.0,4.0,0.0,7.0,0.0,2.0,16.0,,,,Iowa State,Iowa State,0.0,1.0,0.0,3.0,0.0,0.0,8.0,,,
Gracen Halton,Defensive Tackle,Oklahoma,SEC,75.0,293,4.82,,36.5,114.0,8.09,4.79,4,0,0,0,0,0,0,Oklahoma,2.0,7.0,3.5,11.0,1.0,7.0,33.0,0.0,0.0,1.0,Oklahoma,0.0,0.0,1.0,0.0,3.0,5.0,17.0,0.0,6.0,30.0,0.0,1.0,0.0,4.0,0.0,3.5,9.0,,,,Oklahoma,Oklahoma,0.0,0.0,0.0,2.0,0.0,1.0,10.0,,,
Zane Durant,Defensive Tackle,Penn State,Big Ten,73.0,290,4.75,,33.5,112.0,,,4,0,0,0,0,0,0,Penn State,2.0,1.0,4.0,14.0,0.0,4.5,25.0,,,,Penn State,,,,1.0,4.0,3.0,22.0,0.0,10.0,42.0,0.0,1.0,2.0,12.0,0.0,5.5,17.0,0.0,0.0,1.0,Penn State,Penn State,0.0,0.0,1.0,1.0,0.0,1.0,5.0,,,
Rayshaun Benny,Defensive Tackle,Michigan,Big Ten,75.0,298,,,,,,,4,0,0,0,0,0,0,Michigan,2.0,2.0,1.5,19.0,0.0,3.0,35.0,0.0,0.0,1.0,Michigan,,,,2.0,4.0,1.5,15.0,0.0,3.5,29.0,1.0,0.0,1.0,13.0,0.0,5.5,27.0,,,,Michigan,Michigan,0.0,0.0,0.0,4.0,0.0,0.0,11.0,,,
Dontay Corleone,Defensive Tackle,Cincinnati,Big 12,73.0,340,,,,,,,3,0,0,0,0,0,0,Cincinnati,0.0,2.0,0.0,5.0,0.0,0.0,14.0,,,,Cincinnati,,,,0.0,4.0,2.5,14.0,0.0,5.0,26.0,1.0,2.0,3.0,22.0,0.0,6.5,39.0,,,,Cincinnati,,,,,,,,,,,
Zxavian Harris,Defensive Tackle,Ole Miss,SEC,80.0,330,,,,,,,4,0,0,0,0,0,0,Ole Miss,3.0,7.0,3.0,27.0,0.0,9.0,58.0,,,,Ole Miss,,,,0.0,2.0,1.5,13.0,0.0,4.5,31.0,0.0,2.0,1.0,18.0,0.0,3.5,30.0,,,,Ole Miss,Ole Miss,0.0,0.0,0.0,1.0,0.0,0.5,3.0,,,
Tim Keenan III,Defensive Tackle,Alabama,SEC,73.0,327,5.31,21.0,30.0,100.0,,,4,0,0,0,0,0,0,Alabama,1.0,1.0,2.0,11.0,0.0,3.0,16.0,0.0,0.0,2.0,Alabama,,,,1.0,2.0,2.5,16.0,0.0,7.5,40.0,1.0,7.0,1.0,17.0,0.0,1.5,38.0,,,,Alabama,Alabama,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,,
Chris McClellan,Defensive Tackle,Missouri,SEC,76.0,313,5.05,25.0,29.5,108.0,,,4,0,0,0,0,0,0,Missouri,2.0,6.0,6.0,15.0,0.0,8.0,48.0,,,,Missouri,,,,2.0,3.0,2.5,10.0,0.0,5.5,39.0,0.0,1.0,0.5,7.0,0.0,1.0,23.0,,,,Florida,Florida,0.0,1.0,1.5,6.0,0.0,2.5,21.0,0.0,0.0,1.0
Albert Regis,Defensive Tackle,Texas A&M,SEC,73.0,295,4.88,,34.0,116.0,7.77,4.85,4,0,0,0,0,0,0,Texas A&M,3.0,2.0,2.0,18.0,0.0,3.0,49.0,,,,Texas A&M,,,,6.0,2.0,0.5,16.0,0.0,3.0,36.0,0.0,0.0,1.0,8.0,0.0,2.5,15.0,,,,Texas A&M,Texas A&M,1.0,1.0,0.0,5.0,0.0,2.0,16.0,,,
DeMonte Capehart,Defensive Tackle,Clemson,ACC,77.0,313,4.85,,33.5,107.0,,,4,0,0,0,0,0,0,Clemson,2.0,2.0,1.0,12.0,0.0,2.5,20.0,,,,Clemson,,,,2.0,1.0,0.0,11.0,0.0,1.5,20.0,1.0,4.0,1.0,11.0,0.0,4.0,14.0,,,,Clemson,Clemson,0.0,0.0,0.0,5.0,0.0,2.0,9.0,,,
Deven Eastern,Defensive Tackle,Minnesota,Big Ten,77.0,315,,,27.5,112.0,8.07,,4,0,0,0,0,0,0,Minnesota,1.0,2.0,2.5,18.0,0.0,5.0,38.0,,,,Minnesota,,,,2.0,2.0,2.0,13.0,0.0,5.0,27.0,1.0,3.0,0.0,8.0,0.0,1.0,26.0,,,,Minnesota,Minnesota,1.0,0.0,0.0,2.0,0.0,1.0,4.0,,,
Bryson Eason,Defensive Tackle,Tennessee,SEC,74.0,323,5.09,,30.5,112.0,,5.0,4,0,0,0,0,0,0,Tennessee,3.0,0.0,0.0,8.0,0.0,4.5,31.0,0.0,0.0,1.0,Tennessee,,,,1.0,5.0,1.5,16.0,0.0,7.0,24.0,1.0,4.0,1.5,8.0,0.0,5.0,27.0,,,,Tennessee,Tennessee,0.0,1.0,1.5,9.0,0.0,3.5,16.0,0.0,0.0,2.0
Cameron Ball,Defensive Tackle,Arkansas,SEC,76.0,310,5.13,,32.0,109.0,8.02,4.76,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,7.0,0.0,1.5,32.0,,,,Arkansas,Arkansas,0.0,1.0,0.0,7.0,0.0,1.5,28.0,,,
David Gusta,Defensive Tackle,Kentucky,SEC,74.0,308,4.88,37.0,32.0,,,,1,0,0,0,0,0,0,Kentucky,0.0,2.0,1.0,3.0,0.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Cleveland,Defensive Tackle,NC State,ACC,75.0,307,5.12,,,,,,4,0,0,0,0,0,0,NC State,0.0,3.0,2.0,12.0,0.0,7.0,36.0,,,,NC State,0.0,0.0,1.0,1.0,5.0,0.5,10.0,0.0,3.5,36.0,0.0,1.0,3.0,13.0,0.0,4.5,28.0,,,,NC State,NC State,0.0,0.0,0.5,0.0,0.0,1.0,5.0,,,
Nick Barrett,Defensive Tackle,South Carolina,SEC,75.0,312,5.1,,31.5,108.0,8.17,4.91,4,0,0,0,0,0,0,South Carolina,1.0,1.0,2.0,27.0,1.0,6.0,42.0,0.0,0.0,1.0,South Carolina,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,South Carolina,South Carolina,2.0,0.0,0.0,2.0,0.0,0.0,11.0,,,
Aaron Graves,Defensive Tackle,Iowa,Big Ten,76.0,300,,,,,,,4,0,0,0,0,0,0,Iowa,1.0,3.0,5.0,17.0,0.0,6.5,37.0,,,,Iowa,,,,3.0,2.0,6.0,17.0,0.0,8.0,33.0,1.0,0.0,2.5,14.0,0.0,4.5,36.0,,,,Iowa,Iowa,0.0,0.0,2.5,6.0,0.0,5.5,15.0,,,
James Thompson Jr.,Defensive Tackle,Illinois,Big Ten,77.0,310,,,,,,,4,0,0,0,0,0,0,Illinois,1.0,2.0,2.0,17.0,0.0,3.0,40.0,,,,,,,,,,,,,,,2.0,1.0,3.0,19.0,0.0,5.5,29.0,,,,Wisconsin,Wisconsin,0.0,2.0,2.0,10.0,0.0,6.5,21.0,0.0,0.0,1.0
Gary Smith III,Defensive Tackle,UCLA,Pac-12,73.0,319,,,,,,,1,0,0,0,0,0,0,UCLA,0.0,0.0,0.5,19.0,0.0,1.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Brevard,Defensive Tackle,Texas,SEC,74.0,346,,,,,,,4,0,0,0,0,0,0,Texas,2.0,2.0,0.0,9.0,0.0,1.0,18.0,,,,Purdue,,,,0.0,0.0,1.5,11.0,0.0,5.5,19.0,0.0,2.0,1.0,6.0,0.0,2.5,9.0,0.0,0.0,2.0,Purdue,Purdue,0.0,0.0,0.0,5.0,0.0,0.0,9.0,,,
Damonic Williams,Defensive Tackle,Oklahoma,SEC,74.0,305,,30.0,,,,,4,0,0,0,0,0,0,Oklahoma,1.0,3.0,2.0,11.0,0.0,5.0,27.0,,,,Oklahoma,,,,0.0,2.0,1.0,13.0,0.0,4.5,36.0,0.0,2.0,2.0,11.0,0.0,4.0,30.0,,,,TCU,TCU,0.0,0.0,1.5,11.0,0.0,3.5,24.0,,,
Anterio Thompson,Defensive Tackle,Washington,Pac-12,75.0,310,,,,,,,3,0,0,0,0,0,0,Washington,2.0,3.0,1.0,17.0,0.0,2.0,29.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,Iowa,,,,,,,,,,,
Kody Huisman,Defensive Tackle,Virginia Tech,ACC,75.0,297,,,,,,,1,0,0,0,0,0,0,Virginia Tech,1.0,1.0,0.0,12.0,0.0,1.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahlil Saunders,Defensive Tackle,Kentucky,SEC,76.0,293,,,,,,,4,0,0,0,0,0,0,Kentucky,0.0,4.0,2.0,15.0,0.0,3.5,29.0,,,,Kentucky,,,,0.0,2.0,0.5,7.0,0.0,2.0,15.0,0.0,2.0,1.5,10.0,0.0,3.5,17.0,,,,Kentucky,Kentucky,0.0,0.0,0.5,2.0,0.0,1.0,13.0,,,
Aaron Hall,Defensive Tackle,Duke,ACC,76.0,290,,,,,,,4,0,0,0,0,0,0,Duke,0.0,4.0,2.5,19.0,0.0,11.0,44.0,,,,Duke,,,,2.0,6.0,4.0,15.0,0.0,8.5,43.0,2.0,3.0,1.5,11.0,0.0,2.0,26.0,,,,Duke,Duke,0.0,0.0,0.5,2.0,0.0,0.5,5.0,,,
Cam Rice,Defensive Tackle,Maryland,Big Ten,74.0,303,,,,,,,1,0,0,0,0,0,0,Maryland,1.0,3.0,1.5,15.0,0.0,4.5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
