name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Anthony Hill Jr.,Inside Linebacker,Texas,SEC,74.0,238,,,,,,,3,0,0,0,0,0,0,Texas,1.0,5.0,3.5,37.0,0.0,6.5,70.0,0.0,0.0,1.0,1.5,2.0,0.0,3.0,Texas,0.0,0.0,1.0,1.0,4.0,7.5,60.0,0.0,17.0,113.0,32.0,1.0,0.0,32.0,2.0,3.0,5.0,40.0,0.0,8.0,66.0,,,,,,,,Texas,,,,,,,,,,,
Jacob Rodriguez,Inside Linebacker,Texas Tech,Big 12,73.0,231,4.57,,38.5,121.0,6.9,4.19,4,0,0,0,0,0,0,Texas Tech,6.0,1.0,1.0,62.0,1.0,10.0,122.0,0.0,0.0,2.0,10.3,4.0,0.0,41.0,Texas Tech,0.0,0.0,2.0,3.0,4.0,5.0,75.0,1.0,9.5,113.0,9.0,1.0,0.0,9.0,2.0,1.0,0.0,22.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Texas Tech,Texas Tech,0.0,3.0,0.0,15.0,0.0,2.0,26.0,,,
Josiah Trotter,Inside Linebacker,Missouri,SEC,74.0,237,,27.0,,,,,2,0,0,0,0,0,0,Missouri,1.0,7.0,2.0,43.0,0.0,13.0,84.0,,,,,,,,West Virginia,,,,2.0,5.0,0.5,37.0,0.0,4.0,93.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Deontae Lawson,Inside Linebacker,Alabama,SEC,75.0,226,,,,,,,4,0,0,0,0,0,0,Alabama,4.0,1.0,1.5,45.0,0.0,4.5,80.0,0.0,0.0,2.0,,,,,Alabama,0.0,0.0,1.0,4.0,0.0,2.0,36.0,0.0,6.0,76.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,32.0,0.0,5.5,67.0,,,,,,,,Alabama,Alabama,4.0,0.0,0.0,22.0,0.0,1.0,45.0,,,
Bryce Boettcher,Inside Linebacker,Oregon,Pac-12,73.0,233,,,,,,,2,0,0,0,0,0,0,Oregon,5.0,5.0,1.0,55.0,0.0,5.5,132.0,,,,31.0,1.0,0.0,31.0,Oregon,,,,4.0,0.0,2.0,47.0,0.0,7.0,87.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurean York,Inside Linebacker,Texas A&M,SEC,71.0,226,,25.0,,,7.32,4.48,3,0,0,0,0,0,0,Texas A&M,3.0,5.0,1.0,32.0,0.0,7.0,72.0,0.0,0.0,1.0,,,,,Texas A&M,0.0,0.0,1.0,4.0,2.0,2.5,36.0,0.0,9.5,83.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,39.0,0.0,8.5,74.0,,,,,,,,Texas A&M,,,,,,,,,,,
Keyshaun Elliott,Inside Linebacker,Arizona State,Pac-12,74.0,231,,21.0,38.0,125.0,,,2,0,0,0,0,0,0,Arizona State,2.0,4.0,7.0,54.0,0.0,14.0,98.0,,,,,,,,Arizona State,,,,1.0,2.0,2.0,25.0,0.0,4.0,64.0,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden Fisher,Inside Linebacker,Indiana,Big Ten,73.0,232,,,,,,,2,0,0,0,0,0,0,Indiana,1.0,5.0,4.5,46.0,1.0,10.5,95.0,0.0,0.0,1.0,13.5,2.0,1.0,27.0,Indiana,,,,4.0,3.0,1.5,49.0,0.0,5.5,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lander Barton,Inside Linebacker,Utah,Pac-12,77.0,233,,,,,,,2,0,0,0,0,0,0,Utah,1.0,2.0,1.5,23.0,0.0,3.5,51.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Utah,0.0,0.0,1.0,4.0,1.0,2.0,38.0,1.0,5.0,72.0,52.0,2.0,1.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson,Inside Linebacker,Alabama,SEC,72.0,223,4.57,,38.5,125.0,,,3,0,0,0,0,0,0,Alabama,5.0,2.0,3.0,48.0,0.0,6.5,79.0,,,,0.0,1.0,0.0,0.0,Alabama,,,,1.0,0.0,2.0,28.0,0.0,6.5,61.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,,Alabama,,,,,,,,,,,
