name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Francis Mauigoa,Offensive Tackle,Miami (FL),,78.0,329,,,,,,0,0,0,0,0,0,0
Spencer Fano,Offensive Tackle,Utah,Pac-12,78.0,311,4.91,32.0,111.0,7.34,4.67,0,0,0,0,0,0,0
Caleb Lomu,Offensive Tackle,Utah,Pac-12,78.0,313,4.99,32.5,113.0,,,0,0,0,0,0,0,0
Kadyn Proctor,Offensive Tackle,Alabama,SEC,79.0,352,5.21,32.5,109.0,,,0,0,0,0,0,0,0
Blake Miller,Offensive Tackle,Clemson,ACC,79.0,317,5.04,32.0,113.0,,,0,0,0,0,0,0,0
Jalen Farmer,Offensive Tackle,Kentucky,SEC,77.0,312,4.93,27.0,108.0,,,0,0,0,0,0,0,0
Austin Barber,Offensive Tackle,Florida,SEC,79.0,318,5.12,32.0,111.0,,,0,0,0,0,0,0,0
Jude Bowry,Offensive Tackle,Boston College,ACC,77.0,314,5.08,34.5,115.0,,,0,0,0,0,0,0,0
Enrique Cruz Jr.,Offensive Tackle,Kansas,Big 12,78.0,313,,,,,,0,0,0,0,0,0,0
Nolan Rucci,Offensive Tackle,Penn State,Big Ten,79.0,308,,,,,,0,0,0,0,0,0,0
Tristan Leigh,Offensive Tackle,Clemson,ACC,78.0,315,,,,,,0,0,0,0,0,0,0
Kahlil Benson,Offensive Tackle,Indiana,Big Ten,77.0,319,,,,,,0,0,0,0,0,0,0
Riley Mahlman,Offensive Tackle,Wisconsin,Big Ten,79.0,308,,,,,,0,0,0,0,0,0,0
