name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Sonny Styles,Outside Linebacker,Ohio State,Big Ten,77.0,244,,,,,,4,0,0,0,0,0,0,Ohio State,3.0,4.0,1.0,46.0,0.0,6.5,83.0,,,,5.0,1.0,0.0,5.0,Ohio State,0.0,0.0,1.0,5.0,0.0,6.0,49.0,0.0,11.0,100.0,,,,,1.0,0.0,2.0,32.0,0.0,4.5,53.0,,,,,,,,Ohio State,Ohio State,0.0,0.0,0.0,4.0,0.0,1.0,7.0,,,,,,,
C.J. Allen,Outside Linebacker,Georgia,SEC,73.0,230,,,,,,3,0,0,0,0,0,0,Georgia,4.0,2.0,3.5,47.0,0.0,8.0,88.0,0.0,0.0,1.0,,,,,Georgia,,,,4.0,5.0,0.0,49.0,0.0,3.0,76.0,8.0,1.0,0.0,8.0,2.0,0.0,1.0,21.0,0.0,2.5,41.0,,,,,,,,Georgia,,,,,,,,,,,,,,,
Jake Golday,Outside Linebacker,Cincinnati,Big 12,76.0,239,4.62,39.0,125.0,7.02,4.34,2,0,0,0,0,0,0,Cincinnati,3.0,2.0,3.5,36.0,0.0,4.0,95.0,,,,,,,,Cincinnati,0.0,0.0,1.0,2.0,0.0,1.0,28.0,0.0,6.5,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Louis,Outside Linebacker,Pittsburgh,ACC,72.0,220,4.53,39.5,129.0,6.97,4.26,3,0,0,0,0,0,0,Pittsburgh,3.0,3.0,3.0,43.0,0.0,8.0,79.0,0.0,0.0,2.0,10.5,2.0,0.0,21.0,Pittsburgh,,,,3.0,9.0,7.0,45.0,1.0,15.5,100.0,17.0,4.0,1.0,68.0,0.0,1.0,0.0,5.0,0.0,1.5,19.0,,,,,,,,Pittsburgh,,,,,,,,,,,,,,,
Kaleb Elarms-Orr,Outside Linebacker,TCU,Big 12,74.0,234,4.47,40.0,124.0,,4.41,2,0,0,0,0,0,0,TCU,2.0,6.0,4.0,60.0,0.0,11.0,130.0,,,,,,,,TCU,0.0,0.0,1.0,0.0,2.0,2.0,26.0,0.0,4.5,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Kelly,Outside Linebacker,BYU,FBS Independents,74.0,240,4.57,37.0,125.0,7.12,4.19,2,0,0,0,0,0,0,BYU,1.0,7.0,10.0,40.0,0.0,13.5,52.0,,,,,,,,BYU,,,,1.0,13.0,5.0,33.0,0.0,10.0,50.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gentry,Outside Linebacker,USC,Pac-12,79.0,221,,,,,,2,0,0,0,0,0,0,USC,2.0,1.0,3.0,49.0,0.0,7.0,71.0,,,,,,,,USC,0.0,0.0,1.0,1.0,0.0,2.0,22.0,0.0,6.5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavian Sorey Jr.,Outside Linebacker,Arkansas,SEC,74.0,228,4.63,37.5,120.0,7.0,4.42,4,0,0,0,0,0,0,Arkansas,3.0,3.0,2.5,36.0,0.0,7.5,81.0,,,,25.0,1.0,0.0,25.0,Arkansas,1.0,0.0,0.0,1.0,3.0,2.0,41.0,0.0,9.5,99.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,15.0,0.0,1.5,19.0,,,,,,,,Georgia,Georgia,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,,,,
Kendal Daniels,Outside Linebacker,Oklahoma,SEC,77.0,242,,,,,,4,0,0,0,0,0,0,Oklahoma,3.0,2.0,1.0,29.0,0.0,10.0,54.0,0.0,0.0,1.0,,,,,Oklahoma State,,,,7.0,3.0,5.5,45.0,0.0,10.5,64.0,,,,,1.0,0.0,2.0,62.0,0.0,5.5,105.0,0.0,0.0,2.0,10.5,2.0,0.0,21.0,Oklahoma State,Oklahoma State,3.0,4.0,0.0,43.0,0.0,5.5,69.0,,,,6.7,3.0,0.0,20.0
Namdi Obiazor,Outside Linebacker,TCU,Big 12,75.0,229,4.53,37.0,119.0,7.24,4.36,4,0,0,0,0,0,0,TCU,1.0,1.0,2.0,46.0,0.0,4.0,88.0,,,,14.0,2.0,0.0,28.0,TCU,,,,1.0,2.0,2.5,41.0,0.0,6.5,81.0,14.0,1.0,0.0,14.0,2.0,3.0,4.0,44.0,0.0,6.0,75.0,0.0,0.0,1.0,,,,,TCU,TCU,2.0,0.0,0.0,28.0,0.0,0.5,44.0,,,,,,,
