name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y2_college,Y3_college,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA
Fernando Mendoza,Quarterback,Indiana,Big Ten,77.0,236,,,,,,2,0,0,0,0,0,0,Indiana,4.0,0.0,0.0,379.0,273.0,6.0,0.72,41.0,3535.0,9.3,90.0,21.0,7.0,276.0,3.1,California,2.0,0.0,0.0,386.0,265.0,6.0,0.687,16.0,3004.0,7.8,87.0,50.0,2.0,105.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Simpson,Quarterback,Alabama,SEC,73.0,211,,,,,,3,0,0,0,0,0,0,Alabama,7.0,6.0,0.0,473.0,305.0,5.0,0.645,28.0,3567.0,7.5,90.0,26.0,2.0,93.0,1.0,Alabama,,,,25.0,14.0,0.0,0.56,0.0,167.0,6.7,8.0,17.0,1.0,44.0,5.5,14.0,78.0,2.0,86.0,6.1,,,,20.0,11.0,0.0,0.55,0.0,179.0,9.0,Alabama,,,,,,,,,,,,,,,,
Drew Allar,Quarterback,Penn State,Big Ten,77.0,228,,,,,,4,0,0,0,0,0,0,Penn State,1.0,0.0,0.0,159.0,103.0,3.0,0.648,8.0,1100.0,6.9,36.0,27.0,1.0,172.0,4.8,Penn State,3.0,2.0,0.0,394.0,262.0,8.0,0.665,24.0,3327.0,8.4,96.0,22.0,6.0,302.0,3.1,74.0,24.0,4.0,210.0,2.8,3.0,2.0,0.0,388.0,233.0,2.0,0.601,25.0,2631.0,6.8,Penn State,Penn State,18.0,19.0,1.0,52.0,2.9,,,,60.0,35.0,0.0,0.583,4.0,344.0,5.7
Garrett Nussmeier,Quarterback,LSU,SEC,74.0,203,,,,,,4,0,0,0,0,0,0,LSU,1.0,0.0,0.0,288.0,194.0,5.0,0.674,12.0,1927.0,6.7,29.0,26.0,1.0,-57.0,-2.0,LSU,5.0,3.0,0.0,524.0,336.0,12.0,0.641,29.0,4039.0,7.7,36.0,14.0,3.0,-39.0,-1.1,1.0,1.0,1.0,1.0,1.0,,,,78.0,48.0,1.0,0.615,4.0,592.0,7.6,LSU,LSU,1.0,0.0,0.0,-13.0,-13.0,1.0,1.0,0.0,84.0,52.0,4.0,0.619,5.0,800.0,9.5
Carson Beck,Quarterback,Miami (FL),,77.0,233,,,,,,4,0,0,0,0,0,0,Miami,2.0,0.0,0.0,468.0,338.0,12.0,0.722,30.0,3813.0,8.1,62.0,11.0,2.0,43.0,0.7,Georgia,7.0,3.0,0.0,448.0,290.0,12.0,0.647,28.0,3485.0,7.8,55.0,14.0,1.0,71.0,1.3,60.0,15.0,4.0,116.0,1.9,5.0,2.0,0.0,417.0,302.0,6.0,0.724,24.0,3941.0,9.5,Georgia,Georgia,7.0,20.0,0.0,43.0,6.1,2.0,1.0,0.0,35.0,26.0,0.0,0.743,4.0,310.0,8.9
Taylen Green,Quarterback,Arkansas,SEC,78.0,227,4.36,43.5,134.0,,,2,0,0,0,0,0,0,Arkansas,4.0,2.0,0.0,326.0,198.0,11.0,0.607,19.0,2714.0,8.3,138.0,64.0,8.0,779.0,5.6,Arkansas,8.0,4.0,0.0,381.0,230.0,9.0,0.604,15.0,3153.0,8.3,156.0,41.0,8.0,602.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Klubnik,Quarterback,Clemson,ACC,74.0,207,,,,,,4,0,0,0,0,0,0,Clemson,2.0,1.0,0.0,392.0,257.0,6.0,0.656,16.0,2943.0,7.5,83.0,13.0,4.0,94.0,1.1,Clemson,7.0,1.0,0.0,486.0,308.0,6.0,0.634,36.0,3639.0,7.5,119.0,55.0,7.0,462.0,3.9,125.0,22.0,4.0,182.0,1.5,8.0,4.0,0.0,454.0,290.0,9.0,0.639,19.0,2844.0,6.3,Clemson,Clemson,42.0,16.0,2.0,139.0,3.3,1.0,0.0,0.0,100.0,61.0,3.0,0.61,2.0,697.0,7.0
Sawyer Robertson,Quarterback,Baylor,Big 12,76.0,216,4.64,37.5,123.0,7.45,4.46,4,0,0,0,0,0,0,Baylor,2.0,2.0,0.0,503.0,304.0,12.0,0.604,31.0,3681.0,7.3,56.0,16.0,3.0,17.0,0.3,Baylor,1.0,0.0,0.0,368.0,229.0,8.0,0.622,28.0,3071.0,8.3,63.0,45.0,4.0,230.0,3.7,35.0,31.0,1.0,69.0,2.0,1.0,1.0,0.0,117.0,66.0,4.0,0.564,2.0,864.0,7.4,Baylor,Mississippi State,2.0,8.0,0.0,0.0,0.0,,,,11.0,6.0,1.0,0.545,0.0,23.0,2.1
Jalon Daniels,Quarterback,Kansas,Big 12,73.0,219,4.65,,,,,4,0,0,0,0,0,0,Kansas,7.0,2.0,0.0,319.0,198.0,7.0,0.621,22.0,2504.0,7.8,117.0,38.0,4.0,423.0,3.6,Kansas,5.0,3.0,0.0,300.0,171.0,12.0,0.57,14.0,2454.0,8.2,93.0,33.0,6.0,447.0,4.8,27.0,17.0,0.0,74.0,2.7,1.0,1.0,0.0,75.0,56.0,1.0,0.747,5.0,705.0,9.4,Kansas,Kansas,77.0,37.0,7.0,419.0,5.4,2.0,1.0,0.0,230.0,152.0,4.0,0.661,18.0,2014.0,8.8
Behren Morton,Quarterback,Texas Tech,Big 12,74.0,221,,,,,,4,0,0,0,0,0,0,Texas Tech,4.0,1.0,0.0,333.0,219.0,6.0,0.658,22.0,2780.0,8.3,43.0,11.0,0.0,-113.0,-2.6,Texas Tech,3.0,2.0,0.0,463.0,293.0,8.0,0.633,27.0,3300.0,7.1,55.0,26.0,1.0,-22.0,-0.4,46.0,14.0,4.0,3.0,0.1,1.0,0.0,0.0,294.0,182.0,8.0,0.619,15.0,1754.0,6.0,Texas Tech,Texas Tech,41.0,15.0,2.0,72.0,1.8,2.0,0.0,0.0,169.0,96.0,6.0,0.568,7.0,1117.0,6.6
