name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Jeremiyah Love,Running Back,Notre Dame,FBS Independents,72.0,212,4.36,,,,,,3,0,0,0,0,0,0,Notre Dame,1.0,0.0,0.0,199.0,94.0,18.0,1372.0,6.9,36.0,27.0,3.0,280.0,10.4,,,,,,,,,,,Notre Dame,,,,32.0,28.0,2.0,237.0,8.5,163.0,98.0,17.0,1125.0,6.9,0.0,0.0,1.0,0.0,0.0,,,,,,21.0,21.0,2.0,0.0,42.0,33.0,8.0,1.0,77.0,9.6,71.0,36.0,1.0,385.0,5.4,,,,Notre Dame,,,,,,,,,,,,,,,,,,,
Jadarian Price,Running Back,Notre Dame,FBS Independents,71.0,203,4.49,21.0,35.0,124.0,,,3,0,0,0,0,0,0,Notre Dame,3.0,2.0,0.0,113.0,58.0,11.0,674.0,6.0,35.0,6.0,2.0,87.0,14.5,,,,,,37.5,100.0,12.0,2.0,450.0,Notre Dame,1.0,1.0,0.0,8.0,4.0,0.0,10.0,2.5,120.0,70.0,7.0,746.0,6.2,,,,,,,,,,,34.4,99.0,10.0,1.0,344.0,40.0,5.0,1.0,65.0,13.0,47.0,54.0,3.0,272.0,5.8,1.0,1.0,0.0,Notre Dame,,,,,,,,,,,,,,,,,,,
Jonah Coleman,Running Back,Washington,Pac-12,68.0,220,,22.0,,,,,2,0,0,0,0,0,0,Washington,1.0,1.0,0.0,156.0,38.0,15.0,758.0,4.9,45.0,31.0,2.0,354.0,11.4,,,,,,19.0,26.0,3.0,0.0,57.0,Washington,1.0,1.0,0.0,17.0,23.0,0.0,177.0,7.7,193.0,64.0,10.0,1053.0,5.5,26.0,26.0,1.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmett Johnson,Running Back,Nebraska,Big Ten,70.0,202,4.56,16.0,35.5,120.0,7.32,4.29,3,0,0,0,0,0,0,Nebraska,1.0,1.0,0.0,251.0,70.0,12.0,1451.0,5.8,56.0,46.0,3.0,370.0,8.0,,,,,,,,,,,Nebraska,3.0,1.0,0.0,29.0,38.0,2.0,273.0,7.2,117.0,42.0,1.0,598.0,5.1,8.0,17.0,3.0,0.0,24.0,,,,,,15.0,15.0,1.0,0.0,15.0,13.0,7.0,0.0,46.0,6.6,90.0,29.0,2.0,411.0,4.6,1.0,1.0,0.0,Nebraska,,,,,,,,,,,,,,,,,,,
Kaytron Allen,Running Back,Penn State,Big Ten,71.0,216,,,,,,,4,0,0,0,0,0,0,Penn State,1.0,1.0,0.0,210.0,67.0,15.0,1303.0,6.2,11.0,18.0,0.0,68.0,3.8,,,,,,,,,,,Penn State,1.0,0.0,0.0,20.0,18.0,2.0,153.0,8.5,220.0,32.0,8.0,1108.0,5.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,,,,15.0,14.0,1.0,81.0,5.8,172.0,50.0,6.0,902.0,5.2,2.0,0.0,0.0,Penn State,Penn State,18.5,29.0,2.0,0.0,37.0,45.0,20.0,1.0,188.0,9.4,167.0,59.0,10.0,867.0,5.2,1.0,1.0,0.0
Seth McGowan,Running Back,Kentucky,SEC,72.0,223,4.49,,42.5,131.0,,4.5,1,0,0,0,0,0,0,Kentucky,2.0,1.0,0.0,165.0,20.0,12.0,725.0,4.4,17.0,19.0,0.0,126.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demond Claiborne,Running Back,Wake Forest,ACC,70.0,188,4.37,,,122.0,,,4,0,0,0,0,0,0,Wake Forest,7.0,4.0,0.0,179.0,85.0,10.0,905.0,5.1,21.0,28.0,0.0,140.0,5.0,,,,,,18.0,18.0,1.0,0.0,18.0,Wake Forest,3.0,3.0,0.0,44.0,23.0,2.0,254.0,11.0,228.0,60.0,11.0,1048.0,4.6,25.2,100.0,11.0,1.0,277.0,,,,,,28.4,96.0,10.0,1.0,284.0,22.0,3.0,0.0,35.0,11.7,137.0,42.0,5.0,586.0,4.3,,,,Wake Forest,Wake Forest,,,,,,0.0,1.0,0.0,-5.0,-5.0,14.0,32.0,0.0,57.0,4.1,0.0,0.0,1.0
Le'Veon Moss,Running Back,Texas A&M,SEC,71.0,203,,,,,,,4,0,0,0,0,0,0,Texas A&M,,,,77.0,38.0,6.0,404.0,5.2,5.0,2.0,0.0,3.0,1.5,,,,,,,,,,,Texas A&M,2.0,2.0,0.0,20.0,10.0,0.0,141.0,14.1,121.0,75.0,10.0,765.0,6.3,,,,,,,,,,,,,,,,19.0,11.0,0.0,84.0,7.6,96.0,36.0,5.0,484.0,5.0,,,,Texas A&M,Texas A&M,16.0,17.0,2.0,0.0,32.0,8.0,1.0,0.0,8.0,8.0,28.0,23.0,1.0,120.0,4.3,,,
Adam Randall,Running Back,Clemson,ACC,75.0,232,4.5,26.0,37.0,124.0,,4.53,4,0,0,0,0,0,0,Clemson,3.0,3.0,0.0,168.0,46.0,10.0,814.0,4.8,35.0,36.0,3.0,254.0,7.1,,,,,,23.7,31.0,9.0,0.0,213.0,Clemson,,,,25.0,16.0,2.0,155.0,9.7,4.0,41.0,0.0,44.0,11.0,24.7,41.0,3.0,0.0,74.0,,,,,,15.0,15.0,1.0,0.0,15.0,34.0,22.0,0.0,250.0,11.4,,,,,,,,,Clemson,Clemson,,,,,,18.0,10.0,0.0,128.0,12.8,1.0,0.0,0.0,0.0,0.0,,,
Roman Hemby,Running Back,Indiana,Big Ten,72.0,207,,,,,,,4,0,0,0,0,0,0,Indiana,1.0,0.0,0.0,230.0,82.0,7.0,1120.0,4.9,26.0,17.0,0.0,165.0,9.7,,,,,,22.6,34.0,9.0,0.0,203.0,Maryland,,,,32.0,40.0,1.0,273.0,6.8,134.0,75.0,6.0,607.0,4.5,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,61.0,38.0,3.0,349.0,9.2,143.0,40.0,4.0,680.0,4.8,1.0,1.0,0.0,Maryland,Maryland,10.8,17.0,4.0,0.0,43.0,27.0,33.0,1.0,298.0,9.0,188.0,75.0,10.0,989.0,5.3,,,
