name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Caleb Downs,Safety,Ohio State,Big Ten,72.0,206,,,,,,3,0,0,0,0,0,0,Ohio State,1.0,1.0,1.0,45.0,0.0,5.0,68.0,,,,0.0,2.0,0.0,0.0,Ohio State,1.0,0.0,0.0,6.0,1.0,0.5,48.0,1.0,7.5,81.0,3.5,2.0,0.0,7.0,3.0,0.0,0.0,70.0,1.0,3.5,107.0,0.0,0.0,1.0,5.5,2.0,0.0,11.0,Alabama,,,,,,,,,,,,,,,
Dillon Thieneman,Safety,Oregon,Pac-12,72.0,201,4.35,18.0,41.0,125.0,,3,0,0,0,0,0,0,Oregon,5.0,1.0,1.0,44.0,0.0,3.5,92.0,,,,0.0,2.0,0.0,0.0,Purdue,2.0,1.0,0.0,6.0,0.0,1.0,70.0,0.0,4.5,104.0,,,,,2.0,1.0,0.0,74.0,0.0,2.0,106.0,,,,9.7,6.0,0.0,58.0,Purdue,,,,,,,,,,,,,,,
Kamari Ramsey,Safety,USC,Pac-12,72.0,202,4.47,16.0,36.0,120.0,,2,0,0,0,0,0,0,USC,2.0,2.0,0.0,13.0,0.0,1.5,21.0,,,,,,,,USC,,,,5.0,1.0,2.0,43.0,0.0,5.5,60.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treydan Stukes,Safety,Arizona,Pac-12,73.0,190,4.33,,38.0,130.0,,2,0,0,0,0,0,0,Arizona,6.0,0.0,1.0,24.0,0.0,1.0,52.0,,,,3.8,4.0,0.0,15.0,Arizona,,,,2.0,0.0,0.0,10.0,0.0,2.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis Smith,Safety,Arizona State,Pac-12,74.0,202,,,42.5,128.0,4.18,2,0,0,0,0,0,0,Arizona,8.0,1.0,0.0,35.0,0.0,3.0,77.0,0.0,0.0,2.0,25.0,1.0,0.0,25.0,Arizona,0.0,0.0,1.0,6.0,0.0,0.0,37.0,0.0,3.5,60.0,8.5,2.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bud Clark,Safety,TCU,Big 12,72.0,185,4.41,,38.0,127.0,,4,0,0,0,0,0,0,TCU,7.0,1.0,1.0,31.0,1.0,1.5,56.0,,,,6.3,4.0,1.0,25.0,TCU,,,,3.0,0.0,0.0,44.0,0.0,0.0,68.0,1.0,3.0,0.0,3.0,4.0,0.0,0.0,20.0,0.0,1.0,30.0,,,,0.3,3.0,0.0,1.0,TCU,TCU,5.0,0.0,0.0,22.0,1.0,1.0,27.0,0.0,0.0,1.0,16.6,5.0,1.0,83.0
A.J. Haulcy,Safety,LSU,SEC,72.0,215,,,,,,3,0,0,0,0,0,0,LSU,4.0,0.0,0.0,50.0,0.0,0.5,88.0,,,,25.7,3.0,0.0,77.0,Houston,,,,7.0,0.0,0.0,43.0,0.0,0.0,74.0,14.4,5.0,0.0,72.0,2.0,1.0,0.0,69.0,0.0,1.0,90.0,,,,,,,,Houston,,,,,,,,,,,,,,,
Zakee Wheatley,Safety,Penn State,Big Ten,75.0,208,,,32.5,122.0,,4,0,0,0,0,0,0,Penn State,1.0,3.0,0.0,51.0,0.0,2.0,74.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,Penn State,0.0,0.0,2.0,4.0,0.0,1.0,53.0,0.0,2.5,86.0,9.3,3.0,0.0,28.0,0.0,0.0,0.0,14.0,0.0,0.5,24.0,,,,,,,,Penn State,Penn State,1.0,0.0,0.0,20.0,0.0,0.0,24.0,,,,17.0,2.0,0.0,34.0
Michael Taaffe,Safety,Texas,SEC,72.0,190,4.5,,,,,4,0,0,0,0,0,0,Texas,1.0,0.0,1.0,38.0,0.0,1.0,70.0,,,,0.0,2.0,0.0,0.0,Texas,0.0,0.0,1.0,10.0,1.0,2.0,40.0,0.0,5.5,78.0,4.5,2.0,0.0,9.0,2.0,1.0,0.0,27.0,0.0,2.5,45.0,,,,15.0,3.0,0.0,45.0,Texas,Texas,1.0,0.0,0.0,12.0,0.0,0.5,24.0,,,,,,,
Jalon Kilgore,Safety,South Carolina,SEC,73.0,210,4.4,16.0,37.0,130.0,4.32,3,0,0,0,0,0,0,South Carolina,10.0,1.0,0.0,32.0,0.0,0.0,54.0,2.0,1.0,2.0,0.5,2.0,0.0,1.0,South Carolina,,,,5.0,3.0,0.0,31.0,0.0,3.0,48.0,13.6,5.0,0.0,68.0,6.0,0.0,0.0,46.0,0.0,1.5,76.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,South Carolina,,,,,,,,,,,,,,,
Jalen Huskey,Safety,Maryland,Big Ten,73.0,196,,,,,,2,0,0,0,0,0,0,Maryland,2.0,0.0,0.0,58.0,0.0,1.5,72.0,,,,19.5,4.0,0.0,78.0,Maryland,0.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0,2.5,45.0,12.3,3.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShon Singleton,Safety,Nebraska,Big Ten,75.0,205,,,39.5,130.0,,4,0,0,0,0,0,0,Nebraska,4.0,2.0,1.0,44.0,0.0,4.0,70.0,0.0,0.0,1.0,3.5,2.0,0.0,7.0,Nebraska,0.0,0.0,1.0,3.0,0.0,0.0,45.0,0.0,1.0,71.0,7.0,1.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,2.5,19.0,,,,,,,,Nebraska,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,
Bishop Fitzgerald,Safety,USC,Pac-12,71.0,201,4.55,12.0,33.0,,,3,0,0,0,0,0,0,USC,3.0,0.0,1.0,34.0,1.0,2.5,51.0,,,,17.2,5.0,1.0,86.0,NC State,,,,8.0,2.0,0.0,35.0,0.0,7.0,55.0,15.7,3.0,0.0,47.0,3.0,0.0,0.0,16.0,0.0,0.5,42.0,,,,0.0,2.0,0.0,0.0,NC State,,,,,,,,,,,,,,,
Lorenzo Styles Jr.,Safety,Ohio State,Big Ten,73.0,194,4.27,,39.0,,,4,0,0,0,0,0,0,Ohio State,2.0,0.0,0.0,18.0,1.0,1.5,30.0,,,,,,,,Ohio State,,,,4.0,0.0,0.0,10.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,Notre Dame,,,,,,,,,,,,,,
