name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Kenyon Sadiq,Tight End,Oregon,Pac-12,75.0,241,4.39,26.0,43.5,133.0,,,2,0,0,0,0,0,0,Oregon,1.0,0.0,0.0,3.0,3.0,0.0,6.0,2.0,30.0,51.0,8.0,560.0,11.0,Oregon,,,,39.0,24.0,2.0,308.0,12.8,5.0,16.0,0.0,24.0,4.8,,,,,,,,,,,,,,,,,,,,,,,
Eli Stowers,Tight End,Vanderbilt,SEC,76.0,239,4.51,,45.5,135.0,,,2,0,0,0,0,0,0,Vanderbilt,,,,2.0,4.0,0.0,2.0,1.0,67.0,61.0,4.0,765.0,12.5,Vanderbilt,,,,41.0,49.0,5.0,638.0,13.0,6.0,9.0,0.0,7.0,1.2,,,,,,,,,,,,,,,,,,,,,,,
Max Klare,Tight End,Ohio State,Big Ten,77.0,246,,,,,,,3,0,0,0,0,0,0,Ohio State,1.0,0.0,0.0,,,,,,39.0,43.0,2.0,448.0,10.4,Purdue,2.0,1.0,0.0,62.0,51.0,4.0,685.0,13.4,,,,,,27.0,22.0,0.0,196.0,8.9,,,,,,,,,Purdue,,,,,,,,,
Michael Trigg,Tight End,Baylor,Big 12,76.0,240,,,,,,,4,0,0,0,0,0,0,Baylor,,,,,,,,,42.0,50.0,6.0,694.0,13.9,Baylor,1.0,1.0,0.0,42.0,30.0,3.0,395.0,13.2,,,,,,21.0,4.0,1.0,65.0,16.3,,,,,,,,,Ole Miss,Ole Miss,28.0,17.0,3.0,156.0,9.2,1.0,0.0,0.0
Sam Roush,Tight End,Stanford,Pac-12,78.0,267,4.7,25.0,38.5,126.0,7.08,4.37,2,0,0,0,0,0,0,Stanford,1.0,0.0,0.0,,,,,,69.0,49.0,2.0,545.0,11.1,Stanford,,,,28.0,40.0,2.0,334.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Joly,Tight End,NC State,ACC,75.0,241,,,,,,,2,0,0,0,0,0,0,NC State,,,,,,,,,59.0,49.0,7.0,489.0,10.0,NC State,,,,40.0,43.0,4.0,661.0,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Endries,Tight End,Texas,SEC,77.0,245,4.62,,36.0,119.0,,,2,0,0,0,0,0,0,Texas,,,,,,,,,54.0,33.0,3.0,346.0,10.5,California,1.0,0.0,0.0,57.0,56.0,2.0,623.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Raridon,Tight End,Notre Dame,FBS Independents,78.0,245,,,,,,,3,0,0,0,0,0,0,Notre Dame,,,,,,,,,65.0,32.0,0.0,482.0,15.1,Notre Dame,,,,14.0,11.0,2.0,90.0,8.2,,,,,,19.0,5.0,1.0,51.0,10.2,,,,,,,,,Notre Dame,,,,,,,,,
Dallen Bentley,Tight End,Utah,Pac-12,76.0,253,4.62,24.0,35.0,118.0,,4.42,2,0,0,0,0,0,0,Utah,1.0,0.0,0.0,,,,,,45.0,48.0,6.0,620.0,12.9,Utah,,,,12.0,2.0,0.0,15.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Royer,Tight End,Cincinnati,Big 12,77.0,247,,,,,,,4,0,0,0,0,0,0,Cincinnati,,,,,,,,,73.0,29.0,4.0,416.0,14.3,Cincinnati,1.0,1.0,0.0,38.0,51.0,3.0,532.0,10.4,,,,,,5.0,1.0,0.0,5.0,5.0,,,,,,,,,Ohio State,Ohio State,9.0,2.0,0.0,10.0,5.0,,,
Marlin Klein,Tight End,Michigan,Big Ten,78.0,248,4.61,,36.0,117.0,7.42,,3,0,0,0,0,0,0,Michigan,,,,,,,,,27.0,24.0,1.0,248.0,10.3,Michigan,,,,33.0,13.0,0.0,108.0,8.3,,,,,,8.0,1.0,0.0,8.0,8.0,,,,,,,,,Michigan,,,,,,,,,
Josh Cuevas,Tight End,Alabama,SEC,75.0,245,4.65,,34.0,118.0,7.37,4.38,2,0,0,0,0,0,0,Alabama,,,,1.0,7.0,0.0,7.0,7.0,32.0,37.0,4.0,411.0,11.1,Alabama,,,,43.0,16.0,1.0,218.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Koziol,Tight End,Houston,Big 12,78.0,247,4.7,,36.5,122.0,,,1,0,0,0,0,0,0,Houston,,,,,,,,,50.0,74.0,6.0,727.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Boerkircher,Tight End,Texas A&M,SEC,77.0,245,,,,,,4.4,4,0,0,0,0,0,0,Texas A&M,,,,3.0,3.0,1.0,5.0,1.7,28.0,20.0,3.0,204.0,10.2,Nebraska,,,,25.0,6.0,0.0,102.0,17.0,,,,,,17.0,5.0,0.0,51.0,10.2,1.0,11.0,0.0,11.0,11.0,,,,Nebraska,Nebraska,19.0,6.0,1.0,52.0,8.7,,,
