name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Carnell Tate,Wide Receiver,Ohio State,Big Ten,74.0,192,4.48,,,,,,3,0,0,0,0,0,0,Ohio State,,,,2.0,8.0,0.0,16.0,8.0,57.0,51.0,9.0,875.0,17.2,,,,,,,,,,,Ohio State,,,,40.0,52.0,4.0,733.0,14.1,0.0,6.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,55.0,18.0,1.0,264.0,14.7,,,,,,,,,,,,,,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon,Wide Receiver,USC,Pac-12,71.0,192,,,,,,,2,0,0,0,0,0,0,USC,1.0,1.0,0.0,9.0,7.0,2.0,4.0,0.4,74.0,79.0,11.0,1156.0,14.6,11.8,35.0,6.0,0.0,71.0,18.0,24.0,8.0,0.0,144.0,USC,,,,70.0,52.0,3.0,764.0,14.7,,,,,,27.1,80.0,19.0,0.0,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson,Wide Receiver,Arizona State,Pac-12,74.0,203,,26.0,,,,,2,0,0,0,0,0,0,Arizona State,1.0,0.0,0.0,2.0,3.0,1.0,4.0,2.0,57.0,61.0,8.0,711.0,11.7,,,,,,,,,,,Arizona State,2.0,2.0,0.0,59.0,75.0,10.0,1101.0,14.7,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Boston,Wide Receiver,Washington,Pac-12,76.0,212,,,35.0,,,4.28,2,0,0,0,0,0,0,Washington,1.0,0.0,0.0,,,,,,78.0,62.0,11.0,881.0,14.2,13.0,78.0,8.0,1.0,104.0,,,,,,Washington,1.0,0.0,0.0,51.0,63.0,9.0,834.0,13.2,,,,,,,,,,,6.2,25.0,13.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr.,Wide Receiver,Indiana,Big Ten,72.0,199,,,,,,,3,0,0,0,0,0,0,Indiana,,,,3.0,75.0,1.0,74.0,24.7,58.0,70.0,13.0,961.0,13.7,,,,,,,,,,,Indiana,,,,69.0,28.0,7.0,594.0,21.2,2.0,16.0,1.0,23.0,11.5,,,,,,,,,,,,,,,,35.0,18.0,2.0,267.0,14.8,,,,,,,,,,,,,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Concepcion,Wide Receiver,Texas A&M,SEC,72.0,196,,,,,,,3,0,0,0,0,0,0,Texas A&M,1.0,0.0,0.0,10.0,16.0,1.0,75.0,7.5,48.0,61.0,9.0,919.0,15.1,18.2,80.0,25.0,2.0,456.0,,,,,,NC State,3.0,1.0,0.0,42.0,53.0,6.0,459.0,8.7,19.0,9.0,2.0,36.0,1.9,,,,,,9.0,20.0,5.0,0.0,45.0,,,,,,72.0,71.0,10.0,839.0,11.8,41.0,65.0,0.0,320.0,7.8,2.0,0.0,1.0,,,,,,NC State,,,,,,,,,,,,,,,,,,,,,,,,
Zachariah Branch,Wide Receiver,Georgia,SEC,69.0,177,4.35,20.0,38.0,125.0,,,2,0,0,0,0,0,0,Georgia,,,,4.0,10.0,0.0,7.0,1.8,47.0,81.0,6.0,811.0,10.0,12.0,29.0,15.0,0.0,180.0,20.5,44.0,10.0,0.0,205.0,USC,1.0,1.0,0.0,42.0,47.0,1.0,503.0,10.7,2.0,15.0,0.0,17.0,8.5,21.0,46.0,5.0,0.0,105.0,5.7,20.0,13.0,0.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bell,Wide Receiver,Louisville,American Athletic,74.0,222,,,,,,,4,0,0,0,0,0,0,Louisville,,,,,,,,,64.0,72.0,6.0,917.0,12.7,,,,,,0.0,12.0,0.0,0.0,12.0,Louisville,1.0,1.0,0.0,68.0,43.0,4.0,737.0,17.1,2.0,47.0,0.0,43.0,21.5,12.0,21.0,4.0,0.0,48.0,,,,,,,,,,,48.0,29.0,2.0,407.0,14.0,,,,,,,,,,,,,,Louisville,Louisville,18.0,18.0,1.0,0.0,18.0,29.0,7.0,0.0,105.0,15.0,,,,,,,,,,,,,
Germie Bernard,Wide Receiver,Alabama,SEC,73.0,206,4.48,,32.5,125.0,6.71,4.31,4,0,0,0,0,0,0,Alabama,,,,18.0,25.0,2.0,101.0,5.6,43.0,64.0,7.0,862.0,13.5,,,,,,,,,,,Alabama,,,,47.0,50.0,2.0,794.0,15.9,4.0,13.0,1.0,37.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan State,17.0,32.0,7.0,0.0,119.0,44.0,7.0,2.0,128.0,18.3,1.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,,,,,
Chris Brazzell II,Wide Receiver,Tennessee,SEC,76.0,198,4.37,,,,,,2,0,0,0,0,0,0,Tennessee,,,,,,,,,72.0,62.0,9.0,1017.0,16.4,,,,,,,,,,,Tennessee,,,,53.0,29.0,2.0,333.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Sarratt,Wide Receiver,Indiana,Big Ten,74.0,210,,,,,,,2,0,0,0,0,0,0,Indiana,,,,,,,,,49.0,64.0,15.0,806.0,12.6,,,,,,,,,,,Indiana,,,,84.0,53.0,8.0,957.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Fields,Wide Receiver,Notre Dame,FBS Independents,76.0,218,4.61,,38.0,124.0,6.98,4.35,4,0,0,0,0,0,0,Notre Dame,1.0,1.0,0.0,,,,,,66.0,36.0,5.0,630.0,17.5,,,,,,,,,,,Virginia,2.0,1.0,0.0,45.0,55.0,5.0,808.0,14.7,,,,,,,,,,,,,,,,,,,,,39.0,58.0,5.0,811.0,14.0,1.0,0.0,0.0,-6.0,-6.0,,,,,,,,,Virginia,Virginia,,,,,,15.0,5.0,1.0,58.0,11.6,,,,,,,,,,,,,
Antonio Williams,Wide Receiver,Clemson,ACC,71.0,187,4.41,10.0,39.5,124.0,7.0,,3,0,0,0,0,0,0,Clemson,,,,13.0,24.0,1.0,78.0,6.0,64.0,55.0,4.0,604.0,11.0,8.8,30.0,5.0,0.0,44.0,,,,,,Clemson,1.0,1.0,0.0,57.0,74.0,11.0,902.0,12.2,7.0,36.0,1.0,101.0,14.4,,,,,,9.6,25.0,17.0,0.0,164.0,,,,,,33.0,21.0,2.0,208.0,9.9,,,,,,,,,4.7,11.0,3.0,0.0,14.0,Clemson,,,,,,,,,,,,,,,,,,,,,,,,
