name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Solomon Thomas,Defensive Tackle,Stanford,Pac-12,75.0,273.0,4.69,30.0,35.0,126.0,6.95,4.28,21.0,1,0,0,1,0,0,0,0.0,7.0,8.0,40.0,0.0,14.0,61.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Allen,Defensive Tackle,Alabama,SEC,75.0,286.0,5.0,21.0,30.0,108.0,7.49,4.5,22.0,1,0,0,0,1,0,0,2.0,15.0,10.5,33.0,0.0,16.0,69.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik McDowell,Defensive Tackle,Michigan State,Big Ten,78.0,295.0,4.85,23.0,28.5,112.0,7.69,4.53,21.0,2,0,1,1,0,0,0,0.0,5.0,1.5,20.0,0.0,7.0,34.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Tomlinson,Defensive Tackle,Alabama,SEC,75.0,310.0,5.19,,27.0,110.0,7.68,4.59,23.0,1,0,0,0,0,1,0,4.0,7.0,3.0,17.0,0.0,5.5,62.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Ogunjobi,Defensive Tackle,Charlotte,Conference USA,75.0,305.0,4.97,26.0,32.0,116.0,7.55,4.75,23.0,1,0,0,0,0,1,0,2.0,10.0,3.0,31.0,0.0,13.5,65.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wormley,Defensive Tackle,Michigan,Big Ten,77.0,298.0,,23.0,,,,,23.0,1,0,0,0,0,1,0,0.0,6.0,6.0,18.0,0.0,8.0,37.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Vanderdoes,Defensive Tackle,UCLA,Pac-12,75.0,305.0,4.99,28.0,28.5,111.0,7.69,4.39,22.0,1,0,0,0,1,0,0,0.0,0.0,1.5,15.0,0.0,1.5,27.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montravius Adams,Defensive Tackle,Auburn,SEC,76.0,304.0,4.87,22.0,29.0,108.0,7.62,4.89,22.0,3,0,1,1,1,0,0,2.0,15.0,4.5,26.0,0.0,8.5,44.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazair Jones,Defensive Tackle,North Carolina,ACC,77.0,304.0,5.11,,24.5,101.0,7.93,4.63,22.0,3,0,1,1,1,0,0,3.0,1.0,2.5,32.0,0.0,9.5,70.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaleel Johnson,Defensive Tackle,Iowa,Big Ten,75.0,316.0,5.38,19.0,28.0,100.0,7.64,4.62,23.0,1,0,0,0,0,1,0,2.0,5.0,7.5,30.0,0.0,11.0,55.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Glasgow,Defensive Tackle,Michigan,Big Ten,75.0,302.0,5.13,20.0,27.5,105.0,7.55,4.5,23.0,1,0,0,0,0,1,0,1.0,3.0,4.0,20.0,0.0,10.0,41.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Watkins,Defensive Tackle,Clemson,ACC,75.0,309.0,,25.0,,,,,23.0,2,0,0,0,1,1,0,4.0,4.0,10.5,30.0,0.0,13.5,50.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davon Godchaux,Defensive Tackle,LSU,SEC,75.0,310.0,,,,,,,22.0,1,0,0,0,1,0,0,1.0,3.0,6.5,24.0,0.0,8.5,62.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Brantley,Defensive Tackle,Florida,SEC,75.0,307.0,5.14,21.0,27.0,105.0,7.66,4.62,23.0,1,0,0,0,0,1,0,0.0,3.0,2.5,16.0,0.0,9.5,31.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzel Smart,Defensive Tackle,Tulane,American Athletic,73.0,296.0,5.24,22.0,27.0,105.0,7.53,4.57,22.0,1,0,0,0,1,0,0,0.0,2.0,5.5,34.0,0.0,19.0,68.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Taylor,Defensive Tackle,Oklahoma State,Big 12,75.0,304.0,5.07,26.0,28.5,108.0,7.58,4.72,23.0,1,0,0,0,0,1,0,1.0,2.0,7.0,29.0,0.0,12.5,51.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Jones,Defensive Tackle,Ole Miss,SEC,73.0,319.0,5.04,25.0,28.5,108.0,7.73,4.65,22.0,1,0,0,0,1,0,0,0.0,3.0,2.0,11.0,0.0,3.0,30.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Qualls,Defensive Tackle,Washington,Pac-12,73.0,313.0,5.13,33.0,31.5,105.0,7.65,4.66,22.0,1,0,0,0,1,0,0,0.0,3.0,3.0,18.0,0.0,5.0,38.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Ivie,Defensive Tackle,Florida,SEC,75.0,298.0,,,,,,,22.0,1,0,0,0,1,0,0,0.0,7.0,2.5,9.0,0.0,3.5,26.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treyvon Hester,Defensive Tackle,Toledo,Mid-American,74.0,300.0,,,,,,,24.0,1,0,0,0,0,0,1,1.0,7.0,5.0,22.0,0.0,8.5,39.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Carrell,Defensive Tackle,Colorado,Pac-12,74.0,290.0,,,,,,,23.0,1,0,0,0,0,1,0,0.0,1.0,5.0,25.0,0.0,6.0,47.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vita Vea,Defensive Tackle,Washington,Pac-12,76.0,347.0,5.1,41.0,,,,,23.0,2,0,0,0,1,1,0,4.0,0.0,3.5,31.0,0.0,5.5,44.0,,,,2018,,,,1.0,2.0,5.0,22.0,0.0,6.5,39.0,,,,,,,,,,,,,,,,,,,,
Da'Ron Payne,Defensive Tackle,Alabama,SEC,75.0,311.0,,,,,,,21.0,2,0,1,1,0,0,0,3.0,8.0,1.0,21.0,0.0,1.0,53.0,,,,2018,0.0,0.0,1.0,1.0,3.0,1.5,12.0,0.0,3.5,36.0,,,,,,,,,,,,,,,,,,,,
Taven Bryan,Defensive Tackle,Florida,SEC,77.0,291.0,4.98,30.0,35.0,119.0,7.12,4.48,22.0,2,0,0,1,1,0,0,0.0,3.0,4.0,19.0,0.0,6.0,40.0,,,,2018,0.0,0.0,2.0,1.0,2.0,1.0,8.0,0.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,
B.J. Hill,Defensive Tackle,NC State,ACC,75.0,311.0,4.99,35.0,26.5,101.0,7.28,4.53,23.0,2,0,0,0,1,1,0,3.0,2.0,2.0,18.0,0.0,3.5,55.0,,,,2018,0.0,0.0,2.0,2.0,4.0,1.0,16.0,0.0,2.0,38.0,,,,,,,,,,,,,,,,,,,,
Derrick Nnadi,Defensive Tackle,Florida State,ACC,73.0,317.0,5.38,25.0,27.0,96.0,8.15,5.02,22.0,2,0,0,1,1,0,0,1.0,2.0,3.5,22.0,0.0,10.0,53.0,,,,2018,0.0,0.0,1.0,1.0,2.0,6.0,26.0,0.0,10.5,49.0,,,,,,,,,,,,,,,,,,,,
Justin Jones,Defensive Tackle,NC State,ACC,75.0,309.0,5.09,24.0,29.0,104.0,7.82,4.74,22.0,2,0,0,1,1,0,0,0.0,3.0,3.5,15.0,0.0,9.5,34.0,0.0,0.0,1.0,2018,0.0,0.0,1.0,1.0,2.0,3.0,21.0,0.0,6.5,44.0,,,,,,,,,,,,,,,,,,,,
Deadrin Senat,Defensive Tackle,South Florida,American Athletic,72.0,314.0,5.16,35.0,26.0,100.0,7.77,4.79,24.0,2,0,0,0,0,1,1,0.0,1.0,6.0,35.0,0.0,10.5,66.0,,,,2018,,,,1.0,0.0,1.0,34.0,0.0,7.0,49.0,,,,,,,,,,,,,,,,,,,,
Harrison Phillips,Defensive Tackle,Stanford,Pac-12,75.0,307.0,5.21,42.0,32.0,103.0,7.28,4.5,22.0,2,0,0,1,1,0,0,0.0,5.0,7.0,39.0,0.0,15.0,93.0,0.0,0.0,2.0,2018,,,,1.0,3.0,6.5,20.0,0.0,9.5,46.0,,,,,,,,,,,,,,,,,,,,
RJ McIntosh,Defensive Tackle,Miami,ACC,77.0,286.0,,,,,,,22.0,2,0,0,1,1,0,0,7.0,3.0,2.5,23.0,0.0,12.0,46.0,0.0,0.0,1.0,2018,,,,2.0,0.0,2.5,24.0,0.0,9.5,47.0,,,,,,,,,,,,,,,,,,,,
Tim Settle,Defensive Tackle,Virginia Tech,ACC,75.0,329.0,5.37,,23.5,96.0,7.95,4.83,21.0,2,0,1,1,0,0,0,1.0,2.0,4.0,21.0,0.0,12.5,36.0,,,,2018,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,17.0,,,,,,,,,,,,,,,,,,,,
Folorunso Fatukasi,Defensive Tackle,UConn,American Athletic,76.0,318.0,,,,,,,23.0,2,0,0,0,1,1,0,0.0,0.0,4.0,30.0,0.0,7.5,45.0,,,,2018,,,,0.0,4.0,2.5,22.0,0.0,2.5,43.0,,,,,,,,,,,,,,,,,,,,
Sebastian Joseph,Defensive Tackle,Rutgers,Big Ten,75.0,299.0,,,,,,,23.0,2,0,0,0,1,1,0,1.0,1.0,1.5,17.0,0.0,4.5,35.0,,,,2018,,,,1.0,5.0,1.0,13.0,0.0,3.5,30.0,,,,,,,,,,,,,,,,,,,,
Jullian Taylor,Defensive Tackle,Temple,American Athletic,77.0,294.0,,,,,,,23.0,2,0,0,0,1,1,0,0.0,0.0,0.0,22.0,0.0,11.0,41.0,,,,2018,,,,0.0,0.0,0.0,5.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,
James Looney,Defensive Tackle,California,Pac-12,75.0,287.0,4.89,28.0,35.5,113.0,7.32,4.37,23.0,2,0,0,0,1,1,0,0.0,3.0,3.5,19.0,0.0,9.5,41.0,0.0,0.0,2.0,2018,0.0,0.0,1.0,1.0,2.0,3.5,21.0,0.0,7.5,55.0,,,,,,,,,,,,,,,,,,,,
Kendrick Norton,Defensive Tackle,Miami,ACC,74.0,312.0,5.25,30.0,,,,,21.0,2,0,1,1,0,0,0,1.0,1.0,2.0,14.0,0.0,6.5,26.0,,,,2018,0.0,0.0,1.0,0.0,1.0,2.0,21.0,0.0,10.0,39.0,,,,,,,,,,,,,,,,,,,,
Joshua Frazier,Defensive Tackle,Alabama,SEC,75.0,321.0,,21.0,,,,,22.0,2,0,0,1,1,0,0,3.0,1.0,0.0,8.0,0.0,2.5,15.0,,,,2018,,,,0.0,0.0,1.0,1.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,
Quinnen Williams,Defensive Tackle,Alabama,SEC,75.0,303.0,4.83,,30.5,112.0,,,21.0,2,0,1,1,0,0,0,1.0,12.0,8.0,45.0,0.0,19.5,71.0,,,,2019,,,,0.0,3.0,2.0,11.0,0.0,6.5,20.0,,,,,,,,,,,,,,,,,,,,
