name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,draft_year,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Haason Reddick,Inside Linebacker,Temple,American Athletic,74.0,237.0,4.52,24.0,36.5,133.0,7.01,4.37,22.0,1,0,0,0,1,0,0,3.0,3.0,9.5,43.0,0.0,22.5,65.0,0.0,0.0,1.0,,,,,5.0,1.0,0.0,5.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrad Davis,Inside Linebacker,Florida,SEC,73.0,238.0,,,,,,,22.0,2,0,0,1,1,0,0,4.0,5.0,2.0,29.0,0.0,6.0,60.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuben Foster,Inside Linebacker,Alabama,SEC,72.0,229.0,,,,,,,23.0,1,0,0,0,0,1,0,2.0,7.0,5.0,60.0,0.0,13.0,115.0,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raekwon McMillan,Inside Linebacker,Ohio State,Big Ten,74.0,240.0,4.61,23.0,33.0,121.0,7.15,4.39,21.0,3,1,1,1,0,0,0,4.0,2.0,2.0,49.0,0.0,7.0,102.0,,,,,,,,,,,,19.0,1.0,1.0,19.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Cunningham,Inside Linebacker,Vanderbilt,SEC,76.0,234.0,4.67,15.0,35.0,125.0,7.03,4.29,22.0,1,0,0,0,1,0,0,3.0,1.0,0.0,71.0,0.0,16.5,125.0,0.0,0.0,4.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Riley,Inside Linebacker,LSU,SEC,73.0,232.0,4.58,18.0,34.5,122.0,6.89,4.21,23.0,1,0,0,0,0,1,0,1.0,3.0,1.5,39.0,0.0,9.0,92.0,0.0,0.0,1.0,,,,,3.0,1.0,0.0,3.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Anzalone,Inside Linebacker,Florida,SEC,75.0,241.0,4.63,16.0,30.5,116.0,6.88,4.25,22.0,1,0,0,0,1,0,0,2.0,6.0,3.0,22.0,0.0,4.0,53.0,0.0,0.0,1.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendell Beckwith,Inside Linebacker,LSU,SEC,74.0,243.0,,20.0,,,,,22.0,3,0,1,1,1,0,0,4.0,1.0,1.0,33.0,0.0,6.0,91.0,0.0,0.0,1.0,,,,,,,,,29.0,1.0,1.0,29.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gedeon,Inside Linebacker,Michigan,Big Ten,74.0,244.0,4.75,27.0,34.5,119.0,6.98,4.13,22.0,1,0,0,0,1,0,0,2.0,2.0,4.5,39.0,0.0,15.0,94.0,1.0,0.0,0.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Brown,Inside Linebacker,Ohio,Mid-American,72.0,238.0,4.65,,37.0,124.0,6.92,4.18,23.0,1,0,0,0,0,1,0,0.0,0.0,4.5,71.0,0.0,14.5,128.0,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukeme Eligwe,Inside Linebacker,Georgia Southern,Sun Belt,74.0,234.0,,,,,,,23.0,1,0,0,0,0,1,0,3.0,3.0,2.5,65.0,0.0,8.5,104.0,0.0,0.0,1.0,,,,,6.0,1.0,0.0,6.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Evans,Inside Linebacker,Oklahoma,Big 12,75.0,232.0,,,,,,,22.0,3,0,1,1,1,0,0,8.0,3.0,2.5,55.0,2.0,10.0,98.0,0.0,0.0,1.0,,,,,36.3,4.0,2.0,145.0,0.0,1.0,0.0,0.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Vander Esch,Inside Linebacker,Boise State,Mountain West,76.0,256.0,,,,,,,21.0,2,0,1,1,0,0,0,4.0,1.0,4.0,91.0,0.0,8.5,141.0,,,,0.0,1.0,0.0,0.0,15.7,3.0,0.0,47.0,,,,,2018,,,,,,,,0.0,0.0,1.0,23.0,0.0,3.5,27.0,,,,,,,,,,,,,,,,,,,,
Rashaan Evans,Inside Linebacker,Alabama,SEC,74.0,232.0,,,30.0,116.0,6.95,4.36,22.0,2,0,0,1,1,0,0,3.0,7.0,6.0,35.0,0.0,13.0,74.0,0.0,0.0,1.0,,,,,,,,,,,,,2018,,,,,0.0,0.0,1.0,2.0,6.0,4.0,31.0,0.0,4.5,52.0,,,,,,,,,,,,,,,,,,,,
Fred Warner,Inside Linebacker,BYU,FBS Independents,75.0,236.0,4.64,21.0,38.5,119.0,6.9,4.28,21.0,4,1,1,1,0,0,0,5.0,0.0,1.0,48.0,0.0,9.0,87.0,0.0,0.0,1.0,20.3,3.0,1.0,61.0,26.0,1.0,0.0,26.0,13.5,2.0,0.0,27.0,2018,20.0,1.0,1.0,20.0,,,,6.0,0.0,1.5,47.0,1.0,10.5,86.0,,,,,,,,,,,,,,,,,,,,
