name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,draft_year
Forrest Lamp,Offensive Guard,Western Kentucky,Conference USA,76.0,309.0,5.0,34.0,27.5,111.0,7.55,4.62,23.0,0,0,0,0,0,0,0,2017
Dion Dawkins,Offensive Guard,Temple,American Athletic,76.0,314.0,5.11,26.0,26.0,106.0,7.3,4.78,23.0,0,0,0,0,0,0,0,2017
Isaac Asiata,Offensive Guard,Utah,Pac-12,75.0,323.0,5.34,35.0,25.5,102.0,7.83,4.93,24.0,0,0,0,0,0,0,0,2017
Danny Isidora,Offensive Guard,Miami,ACC,75.0,306.0,5.03,26.0,29.0,94.0,8.13,4.9,23.0,0,0,0,0,0,0,0,2017
Quenton Nelson,Offensive Guard,Notre Dame,FBS Independents,77.0,325.0,,35.0,26.5,105.0,7.65,4.62,22.0,0,0,0,0,0,0,0,2018
Isaiah Wynn,Offensive Guard,Georgia,SEC,74.0,313.0,,,,,,,22.0,0,0,0,0,0,0,0,2018
Austin Corbett,Offensive Guard,Nevada,Mountain West,76.0,306.0,5.15,19.0,28.0,106.0,7.87,4.5,23.0,0,0,0,0,0,0,0,2018
Connor Williams,Offensive Guard,Texas,Big 12,77.0,296.0,5.05,26.0,34.0,112.0,7.83,4.63,21.0,0,0,0,0,0,0,0,2018
Wyatt Teller,Offensive Guard,Virginia Tech,ACC,77.0,301.0,5.24,30.0,29.0,114.0,7.45,4.84,23.0,0,0,0,0,0,0,0,2018
Will Clapp,Offensive Guard,LSU,SEC,77.0,314.0,5.39,25.0,29.0,97.0,8.04,4.92,22.0,0,0,0,0,0,0,0,2018
Chris Lindstrom,Offensive Guard,Boston College,ACC,76.0,308.0,4.91,25.0,30.5,117.0,7.61,4.54,22.0,0,0,0,0,0,0,0,2019
Michael Deiter,Offensive Guard,Wisconsin,Big Ten,77.0,309.0,5.23,21.0,28.0,105.0,7.88,4.81,23.0,0,0,0,0,0,0,0,2019
Nate Davis,Offensive Guard,Charlotte,Conference USA,75.0,316.0,5.23,23.0,26.0,107.0,7.94,4.83,22.0,0,0,0,0,0,0,0,2019
Connor McGovern,Offensive Guard,Penn State,Big Ten,77.0,308.0,,28.0,,112.0,7.66,4.57,21.0,0,0,0,0,0,0,0,2019
Hjalte Froholdt,Offensive Guard,Arkansas,SEC,77.0,306.0,5.2,31.0,27.5,105.0,7.51,4.54,23.0,0,0,0,0,0,0,0,2019
