name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,draft_year
Taylor Moton,Offensive Tackle,Western Michigan,Mid-American,77.0,319.0,5.18,23.0,30.5,109.0,7.73,4.58,23.0,0,0,0,0,0,0,0,2017
Antonio Garcia,Offensive Tackle,Troy,Sun Belt,78.0,302.0,5.15,24.0,31.0,108.0,7.98,4.94,23.0,0,0,0,0,0,0,0,2017
Zach Banner,Offensive Tackle,USC,Pac-12,80.0,353.0,5.58,22.0,23.5,92.0,8.31,5.21,23.0,0,0,0,0,0,0,0,2017
Mike McGlinchey,Offensive Tackle,Notre Dame,FBS Independents,80.0,309.0,,24.0,28.5,105.0,,,24.0,0,0,0,0,0,0,0,2018
Kolton Miller,Offensive Tackle,UCLA,Pac-12,81.0,309.0,4.95,24.0,31.5,121.0,7.34,4.49,23.0,0,0,0,0,0,0,0,2018
Brian O'Neill,Offensive Tackle,Pittsburgh,ACC,79.0,297.0,,,,,,,22.0,0,0,0,0,0,0,0,2018
Geron Christian,Offensive Tackle,Louisville,ACC,77.0,298.0,5.33,19.0,,,,,21.0,0,0,0,0,0,0,0,2018
Rick Leonard,Offensive Tackle,Florida State,ACC,79.0,311.0,,19.0,,,,,21.0,0,0,0,0,0,0,0,2018
Will Richardson,Offensive Tackle,NC State,ACC,78.0,306.0,5.26,,31.5,108.0,7.8,4.83,22.0,0,0,0,0,0,0,0,2018
Cole Madison,Offensive Tackle,Washington State,Pac-12,77.0,313.0,5.33,26.0,28.5,97.0,7.86,4.88,23.0,0,0,0,0,0,0,0,2018
Jamarco Jones,Offensive Tackle,Ohio State,Big Ten,76.0,299.0,5.5,,24.0,102.0,8.32,4.99,22.0,0,0,0,0,0,0,0,2018
Matt Pryor,Offensive Tackle,TCU,Big 12,79.0,358.0,,,,,,,23.0,0,0,0,0,0,0,0,2018
Andre Dillard,Offensive Tackle,Washington State,Pac-12,77.0,315.0,4.96,24.0,29.0,118.0,7.44,4.4,23.0,0,0,0,0,0,0,0,2019
Kaleb McGary,Offensive Tackle,Washington,Pac-12,79.0,317.0,5.05,23.0,33.5,111.0,7.66,4.58,24.0,0,0,0,0,0,0,0,2019
Jawaan Taylor,Offensive Tackle,Florida,SEC,77.0,312.0,,24.0,,,,,21.0,0,0,0,0,0,0,0,2019
