name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Charles Harris,Outside Linebacker,Missouri,SEC,75.0,253.0,4.82,21.0,32.0,109.0,7.47,4.42,22.0,1,0,0,0,1,0,0,2.0,10.0,9.0,35.0,0.0,12.0,61.0,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Watt,Outside Linebacker,Wisconsin,Big Ten,77.0,252.0,4.69,21.0,37.0,128.0,6.79,4.13,22.0,1,0,0,0,1,0,0,4.0,13.0,11.5,38.0,1.0,15.5,63.0,0.0,0.0,1.0,,,,,17.0,1.0,1.0,17.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyus Bowser,Outside Linebacker,Houston,American Athletic,75.0,247.0,4.65,21.0,37.5,127.0,6.75,,22.0,4,1,1,1,1,0,0,4.0,9.0,8.5,27.0,0.0,12.0,47.0,,,,8.0,1.0,0.0,8.0,,,,,,,,,6.0,1.0,0.0,6.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Anderson,Outside Linebacker,Alabama,SEC,74.0,253.0,4.78,,,,,,23.0,1,0,0,0,0,1,0,3.0,8.0,8.5,31.0,1.0,18.5,61.0,0.0,0.0,2.0,,,,,26.0,1.0,1.0,26.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Williams,Outside Linebacker,Alabama,SEC,75.0,244.0,4.68,,33.5,124.0,7.36,4.57,23.0,1,0,0,0,0,1,0,2.0,12.0,9.0,22.0,0.0,16.0,31.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Biegel,Outside Linebacker,Wisconsin,Big Ten,75.0,246.0,4.67,21.0,33.5,118.0,6.92,4.3,24.0,1,0,0,0,0,0,1,1.0,7.0,4.0,29.0,0.0,6.0,44.0,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Reeves-Maybin,Outside Linebacker,Tennessee,SEC,72.0,230.0,,,,,,,22.0,3,0,1,1,1,0,0,0.0,0.0,0.0,12.0,0.0,2.0,20.0,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayon Brown,Outside Linebacker,UCLA,Pac-12,72.0,231.0,4.7,17.0,31.5,120.0,,,22.0,1,0,0,0,1,0,0,6.0,1.0,2.5,69.0,0.0,7.0,119.0,0.0,0.0,2.0,,,,,10.7,3.0,0.0,32.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Milano,Outside Linebacker,Boston College,ACC,73.0,223.0,4.67,24.0,35.0,126.0,,,23.0,1,0,0,0,0,1,0,2.0,1.0,6.5,42.0,1.0,12.0,59.0,0.0,0.0,2.0,,,,,19.0,1.0,1.0,19.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquel Lee,Outside Linebacker,Wake Forest,ACC,75.0,240.0,,25.0,31.0,118.0,,,21.0,1,0,0,1,0,0,0,0.0,4.0,7.5,63.0,0.0,20.0,105.0,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Vallejo,Outside Linebacker,Boise State,Mountain West,73.0,228.0,4.67,,33.5,121.0,,4.39,22.0,3,0,1,1,1,0,0,0.0,1.0,1.0,39.0,0.0,6.0,69.0,,,,,,,,,,,,63.0,1.0,1.0,63.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Carraway,Outside Linebacker,TCU,Big 12,75.0,242.0,4.74,25.0,29.5,120.0,7.2,4.44,23.0,3,0,0,1,1,1,0,0.0,5.0,8.0,25.0,0.0,11.0,49.0,,,,,,,,,,,,33.0,1.0,1.0,33.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Lee,Outside Linebacker,Kansas State,Big 12,75.0,229.0,,,,,,,21.0,2,0,1,1,0,0,0,3.0,2.0,1.5,72.0,0.0,6.5,110.0,0.0,0.0,1.0,0.7,3.0,0.0,2.0,1.5,2.0,0.0,3.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ejuan Price,Outside Linebacker,Pittsburgh,ACC,71.0,241.0,4.84,20.0,31.5,117.0,,4.34,24.0,1,0,0,0,0,0,1,1.0,14.0,13.0,34.0,0.0,23.0,45.0,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roquan Smith,Outside Linebacker,Georgia,SEC,73.0,236.0,4.51,,,,,,21.0,2,0,1,1,0,0,0,2.0,3.0,6.5,77.0,0.0,12.5,125.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2018,0.0,0.0,1.0,1.0,1.0,0.0,52.0,0.0,5.0,95.0,,,,,,,,,,,,,,,,,,,,
Tremaine Edmunds,Outside Linebacker,Virginia Tech,ACC,77.0,253.0,4.54,19.0,,117.0,,,20.0,2,1,1,0,0,0,0,2.0,4.0,5.5,60.0,0.0,14.0,109.0,,,,9.0,1.0,0.0,9.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,3.0,9.0,4.5,56.0,0.0,18.5,106.0,,,,,,,,,,,,,,,,,,,,
Harold Landry,Outside Linebacker,Boston College,ACC,74.0,252.0,4.64,24.0,36.0,119.0,6.88,4.19,22.0,2,0,0,1,1,0,0,2.0,2.0,5.0,22.0,0.0,8.5,38.0,,,,20.0,1.0,0.0,20.0,,,,,,,,,,,,,2018,,,,4.0,6.0,16.5,34.0,0.0,22.0,50.0,,,,,,,,,,,,,,,,,,,,
Uchenna Nwosu,Outside Linebacker,USC,Pac-12,74.0,251.0,4.65,20.0,32.0,119.0,,,21.0,2,0,1,1,0,0,0,13.0,9.0,9.5,47.0,0.0,11.5,75.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,2018,,,,5.0,2.0,3.0,28.0,0.0,7.5,53.0,,,,,,,,,,,,,,,,,,,,
Lorenzo Carter,Outside Linebacker,Georgia,SEC,77.0,250.0,4.5,,36.0,130.0,,,22.0,2,0,0,1,1,0,0,0.0,4.0,4.5,28.0,0.0,7.5,58.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,2018,0.0,0.0,2.0,0.0,1.0,5.0,23.0,0.0,6.0,44.0,,,,,,,,,,,,,,,,,,,,
Jerome Baker,Outside Linebacker,Ohio State,Big Ten,73.0,229.0,4.53,22.0,36.5,126.0,,,21.0,2,0,1,1,0,0,0,3.0,2.0,3.5,42.0,0.0,8.0,72.0,0.0,0.0,2.0,45.0,2.0,1.0,90.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,0.0,0.0,3.5,45.0,1.0,9.5,83.0,,,,,,,,,,,,,,,,,,,,
Malik Jefferson,Outside Linebacker,Texas,Big 12,74.0,236.0,4.52,27.0,36.0,125.0,,,21.0,2,0,1,1,0,0,0,0.0,5.0,4.0,79.0,0.0,10.0,110.0,,,,,,,,,,,,,,,,,,,,2018,,,,2.0,3.0,5.5,43.0,0.0,8.5,59.0,,,,,,,,,,,,,,,,,,,,
Oren Burks,Outside Linebacker,Vanderbilt,SEC,75.0,233.0,4.59,18.0,39.5,131.0,6.82,4.15,23.0,3,0,0,1,1,1,0,3.0,1.0,1.0,45.0,0.0,7.0,82.0,0.0,0.0,1.0,59.0,1.0,0.0,59.0,9.0,1.0,0.0,9.0,10.3,3.0,1.0,31.0,,,,,2018,,,,6.0,5.0,3.5,40.0,0.0,6.5,59.0,,,,,,,,,,,,,,,,,,,,
