name,position,college,conference,height,weight,forty,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM,draft_year,bench
Jake Elliott,Place Kicker,Memphis,American Athletic,69.0,167.0,4.79,22.0,4,1,1,1,1,0,0,26.0,21.0,50.0,0.808,121.0,58.0,58.0,28.0,23.0,53.0,0.821,132.0,63.0,63.0,32.0,21.0,54.0,0.656,120.0,57.0,57.0,18.0,16.0,56.0,0.889,72.0,24.0,24.0,2017,
Zane Gonzalez,Place Kicker,Arizona State,Pac-12,73.0,202.0,,22.0,4,1,1,1,1,0,0,25.0,23.0,59.0,0.92,108.0,40.0,39.0,34.0,26.0,48.0,0.765,130.0,52.0,52.0,27.0,22.0,49.0,0.815,115.0,51.0,49.0,30.0,25.0,44.0,0.833,138.0,65.0,63.0,2017,
Harrison Butker,Place Kicker,Georgia Tech,ACC,76.0,199.0,,22.0,4,1,1,1,1,0,0,17.0,15.0,52.0,0.882,91.0,46.0,46.0,11.0,7.0,53.0,0.636,65.0,44.0,44.0,18.0,11.0,53.0,0.611,98.0,66.0,65.0,14.0,10.0,49.0,0.714,83.0,54.0,53.0,2017,
Daniel Carlson,Place Kicker,Auburn,SEC,77.0,213.0,,23.0,4,0,1,1,1,1,0,31.0,23.0,54.0,0.742,126.0,57.0,57.0,32.0,28.0,53.0,0.875,128.0,44.0,44.0,27.0,23.0,56.0,0.852,109.0,40.0,40.0,23.0,18.0,51.0,0.783,111.0,57.0,57.0,2018,
Jason Sanders,Place Kicker,New Mexico,Mountain West,71.0,184.0,,22.0,3,0,1,1,1,0,0,15.0,10.0,53.0,0.667,58.0,28.0,28.0,13.0,12.0,52.0,0.923,97.0,62.0,61.0,7.0,3.0,32.0,0.429,31.0,22.0,22.0,,,,,,,,2018,
Matt Gay,Place Kicker,Utah,Pac-12,72.0,232.0,,25.0,2,0,0,0,0,0,1,30.0,25.0,55.0,0.833,123.0,45.0,45.0,34.0,30.0,56.0,0.882,130.0,40.0,40.0,,,,,,,,,,,,,,,2019,
Austin Seibert,Place Kicker,Oklahoma,Big 12,69.0,213.0,,22.0,4,1,1,1,1,0,0,16.0,14.0,42.0,0.875,138.0,88.0,87.0,21.0,17.0,51.0,0.81,132.0,81.0,81.0,15.0,11.0,39.0,0.733,105.0,74.0,72.0,23.0,18.0,46.0,0.783,124.0,72.0,70.0,2019,
Justin Rohrwasser,Place Kicker,Marshall,Conference USA,75.0,234.0,,23.0,2,0,0,0,1,1,0,21.0,18.0,53.0,0.857,89.0,36.0,35.0,21.0,15.0,40.0,0.714,89.0,46.0,44.0,,,,,,,,,,,,,,,2020,
Tyler Bass,Place Kicker,Georgia Southern,Sun Belt,71.0,185.0,,23.0,4,0,1,1,1,1,0,28.0,20.0,49.0,0.714,96.0,36.0,36.0,21.0,19.0,50.0,0.905,102.0,45.0,45.0,19.0,15.0,48.0,0.789,72.0,28.0,27.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,2020,
Sam Sloman,Place Kicker,Miami (OH),Mid-American,68.0,205.0,,22.0,4,1,1,1,1,0,0,30.0,26.0,53.0,0.867,112.0,34.0,34.0,13.0,10.0,44.0,0.769,71.0,42.0,41.0,16.0,12.0,45.0,0.75,71.0,36.0,35.0,3.0,1.0,31.0,0.333,5.0,2.0,2.0,2020,
Evan McPherson,Place Kicker,Florida,SEC,71.0,185.0,,22.0,3,0,1,1,1,0,0,21.0,17.0,55.0,0.81,103.0,52.0,52.0,19.0,17.0,50.0,0.895,98.0,48.0,47.0,19.0,17.0,48.0,0.895,100.0,49.0,49.0,,,,,,,,2021,
Cade York,Place Kicker,LSU,SEC,73.0,206.0,,21.0,3,1,1,1,0,0,0,18.0,15.0,56.0,0.833,84.0,39.0,39.0,17.0,14.0,57.0,0.824,73.0,31.0,31.0,27.0,21.0,52.0,0.778,152.0,93.0,89.0,,,,,,,,2022,12.0
