name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Patrick Mahomes,Quarterback,Texas Tech,Big 12,74.0,225.0,4.8,30.0,114.0,6.88,4.08,21.0,3,1,1,1,0,0,0,6.0,1.0,0.0,591.0,388.0,10.0,0.657,41.0,5052.0,8.5,131.0,32.0,12.0,285.0,2.2,131.0,25.0,10.0,456.0,3.5,46.0,14.0,0.0,104.0,2.3,573.0,364.0,15.0,0.635,36.0,4653.0,8.1,185.0,105.0,4.0,0.568,16.0,1547.0,8.4,,,,,,,,,,,,,2017,,,,,,,,,
Deshaun Watson,Quarterback,Clemson,ACC,75.0,221.0,4.66,32.5,119.0,6.95,4.31,21.0,3,1,1,1,0,0,0,3.0,2.0,0.0,578.0,387.0,17.0,0.67,41.0,4593.0,7.9,165.0,33.0,9.0,629.0,3.8,207.0,63.0,12.0,1105.0,5.3,63.0,17.0,5.0,200.0,3.2,491.0,333.0,13.0,0.678,35.0,4104.0,8.4,137.0,93.0,2.0,0.679,14.0,1466.0,10.7,,,,,,,,,,,,,2017,,,,,,,,,
DeShone Kizer,Quarterback,Notre Dame,FBS Independents,76.0,233.0,4.83,30.5,107.0,7.4,4.53,21.0,2,0,1,1,0,0,0,5.0,3.0,0.0,361.0,212.0,9.0,0.587,26.0,2925.0,8.1,129.0,49.0,8.0,472.0,3.7,134.0,79.0,10.0,520.0,3.9,,,,,,335.0,211.0,10.0,0.63,21.0,2884.0,8.6,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Davis Webb,Quarterback,California,Pac-12,77.0,229.0,4.79,33.0,118.0,6.92,4.21,22.0,4,1,1,1,1,0,0,5.0,1.0,0.0,620.0,382.0,12.0,0.616,37.0,4295.0,6.9,33.0,8.0,6.0,-110.0,-3.3,2.0,5.0,2.0,6.0,3.0,17.0,18.0,1.0,16.0,0.9,41.0,22.0,0.0,0.537,2.0,300.0,7.3,345.0,211.0,13.0,0.612,24.0,2539.0,7.4,25.0,14.0,0.0,-12.0,-0.5,361.0,226.0,9.0,0.626,20.0,2718.0,7.5,2017,,,,,,,,,
C.J. Beathard,Quarterback,Iowa,Big Ten,75.0,219.0,,31.0,113.0,,,23.0,4,0,1,1,1,1,0,3.0,0.0,0.0,301.0,170.0,10.0,0.565,17.0,1929.0,6.4,83.0,15.0,2.0,-13.0,-0.2,100.0,57.0,6.0,237.0,2.4,28.0,33.0,0.0,156.0,5.6,362.0,223.0,5.0,0.616,17.0,2809.0,7.8,92.0,52.0,2.0,0.565,5.0,645.0,7.0,13.0,11.0,2.0,49.0,3.8,27.0,9.0,2.0,0.333,1.0,179.0,6.6,2017,,,,,,,,,
Joshua Dobbs,Quarterback,Tennessee,SEC,75.0,216.0,4.64,33.0,122.0,6.75,4.31,22.0,4,1,1,1,1,0,0,10.0,4.0,0.0,357.0,225.0,12.0,0.63,27.0,2946.0,8.3,150.0,70.0,12.0,831.0,5.5,146.0,62.0,11.0,671.0,4.6,104.0,36.0,8.0,469.0,4.5,344.0,205.0,5.0,0.596,15.0,2291.0,6.7,177.0,112.0,6.0,0.633,9.0,1206.0,6.8,38.0,40.0,1.0,189.0,5.0,121.0,72.0,6.0,0.595,2.0,695.0,5.7,2017,,,,,,,,,
Nathan Peterman,Quarterback,Pittsburgh,ACC,75.0,226.0,4.82,31.0,110.0,7.14,4.31,23.0,4,0,1,1,1,1,0,7.0,4.0,0.0,306.0,185.0,7.0,0.605,27.0,2855.0,9.3,72.0,42.0,3.0,286.0,4.0,86.0,28.0,1.0,233.0,2.7,9.0,14.0,1.0,13.0,1.4,314.0,193.0,8.0,0.615,20.0,2287.0,7.3,20.0,10.0,0.0,0.5,0.0,49.0,2.5,6.0,8.0,0.0,-6.0,-1.0,23.0,10.0,2.0,0.435,0.0,45.0,2.0,2017,,,,,,,,,
Brad Kaaya,Quarterback,Miami,ACC,76.0,214.0,,,,,,22.0,3,0,1,1,1,0,0,3.0,1.0,0.0,421.0,261.0,7.0,0.62,27.0,3532.0,8.4,37.0,12.0,1.0,-136.0,-3.7,30.0,9.0,2.0,-119.0,-4.0,27.0,5.0,1.0,-131.0,-4.9,390.0,239.0,5.0,0.613,16.0,3242.0,8.3,378.0,221.0,12.0,0.585,26.0,3198.0,8.5,,,,,,,,,,,,,2017,,,,,,,,,
Chad Kelly,Quarterback,Ole Miss,SEC,74.0,228.0,,,,,,23.0,4,0,1,1,1,1,0,5.0,3.0,0.0,328.0,205.0,8.0,0.625,19.0,2758.0,8.4,81.0,41.0,5.0,332.0,4.1,107.0,43.0,10.0,500.0,4.7,,,,,,458.0,298.0,13.0,0.651,31.0,4042.0,8.8,,,,,,,,16.0,38.0,1.0,117.0,7.3,17.0,10.0,0.0,0.588,0.0,58.0,3.4,2017,,,,,,,,,
Baker Mayfield,Quarterback,Oklahoma,Big 12,73.0,215.0,4.84,29.0,111.0,7.0,4.28,23.0,3,0,0,1,1,1,0,1.0,0.0,0.0,404.0,285.0,6.0,0.705,43.0,4627.0,11.5,97.0,54.0,5.0,311.0,3.2,78.0,16.0,6.0,177.0,2.3,141.0,39.0,7.0,405.0,2.9,358.0,254.0,8.0,0.709,40.0,3965.0,11.1,395.0,269.0,7.0,0.681,36.0,3700.0,9.4,,,,,,,,,,,,,2018,6.0,3.0,0.0,,,,,,
