name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Leonard Fournette,Running Back,LSU,SEC,73.0,240.0,4.51,,28.5,,,,22.0,3,0,1,1,1,0,0,3.0,2.0,0.0,38.0,15.0,0.0,146.0,9.7,129.0,78.0,8.0,843.0,6.5,46.0,19.0,1.0,253.0,13.3,300.0,87.0,22.0,1953.0,6.5,40.0,7.0,0.0,127.0,18.1,187.0,89.0,10.0,1034.0,5.5,,,,,,,,,,,2017,,,,,,,,,
Christian McCaffrey,Running Back,Stanford,Pac-12,71.0,202.0,4.48,10.0,37.5,121.0,6.57,4.22,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,56.0,37.0,3.0,310.0,8.4,253.0,90.0,13.0,1603.0,6.3,75.0,45.0,5.0,645.0,14.3,337.0,70.0,8.0,2019.0,6.0,52.0,17.0,2.0,251.0,14.8,42.0,37.0,0.0,300.0,7.1,,,,,,,,,,,2017,,,,,,,,,
Dalvin Cook,Running Back,Florida State,ACC,70.0,210.0,4.49,22.0,30.5,116.0,7.27,4.53,22.0,3,0,1,1,1,0,0,6.0,4.0,0.0,59.0,33.0,1.0,488.0,14.8,288.0,75.0,19.0,1765.0,6.1,36.0,24.0,1.0,244.0,10.2,229.0,94.0,19.0,1691.0,7.4,30.0,22.0,0.0,203.0,9.2,170.0,44.0,8.0,1008.0,5.9,,,,,,,,,,,2017,,,,,,,,,
Joe Mixon,Running Back,Oklahoma,Big 12,73.0,228.0,,,,,,,21.0,2,0,1,1,0,0,0,5.0,2.0,0.0,60.0,37.0,5.0,538.0,14.5,187.0,79.0,10.0,1274.0,6.8,76.0,28.0,4.0,356.0,12.7,113.0,66.0,7.0,753.0,6.7,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Alvin Kamara,Running Back,Tennessee,SEC,70.0,214.0,4.56,15.0,39.5,131.0,,,22.0,2,0,0,1,1,0,0,5.0,2.0,0.0,53.0,40.0,4.0,392.0,9.8,103.0,39.0,9.0,596.0,5.8,35.0,34.0,3.0,291.0,8.6,107.0,63.0,7.0,698.0,6.5,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Kareem Hunt,Running Back,Toledo,Mid-American,71.0,216.0,4.62,18.0,36.5,119.0,,,22.0,4,1,1,1,1,0,0,,,,71.0,41.0,1.0,403.0,9.8,262.0,47.0,10.0,1475.0,5.6,9.0,11.0,0.0,45.0,4.1,178.0,41.0,12.0,973.0,5.5,10.0,9.0,0.0,39.0,4.3,205.0,91.0,16.0,1631.0,8.0,15.0,12.0,0.0,68.0,5.7,137.0,52.0,6.0,866.0,6.3,2017,,,,,,,,,
D'Onta Foreman,Running Back,Texas,Big 12,72.0,233.0,,18.0,,,,,21.0,3,1,1,1,0,0,0,6.0,6.0,0.0,21.0,7.0,0.0,75.0,10.7,323.0,74.0,15.0,2028.0,6.3,22.0,5.0,0.0,64.0,12.8,95.0,93.0,5.0,681.0,7.2,7.0,1.0,0.0,7.0,7.0,16.0,34.0,0.0,74.0,4.6,,,,,,,,,,,2017,,,,,,,,,
James Conner,Running Back,Pittsburgh,ACC,74.0,233.0,4.65,20.0,29.0,113.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,55.0,21.0,4.0,302.0,14.4,216.0,40.0,16.0,1092.0,5.1,7.0,1.0,0.0,7.0,7.0,8.0,40.0,2.0,77.0,9.6,40.0,5.0,0.0,70.0,14.0,298.0,75.0,26.0,1765.0,5.9,13.0,3.0,0.0,33.0,11.0,146.0,45.0,8.0,799.0,5.5,2017,,,,,,,,,
Samaje Perine,Running Back,Oklahoma,Big 12,71.0,233.0,4.65,30.0,33.0,116.0,7.26,4.37,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,29.0,10.0,1.0,106.0,10.6,196.0,66.0,12.0,1060.0,5.4,20.0,15.0,1.0,107.0,7.1,226.0,72.0,16.0,1349.0,6.0,19.0,15.0,0.0,108.0,7.2,263.0,66.0,21.0,1713.0,6.5,,,,,,,,,,,2017,,,,,,,,,
Joe Williams,Running Back,Utah,Pac-12,71.0,210.0,4.41,14.0,35.0,125.0,7.19,4.19,24.0,2,0,0,0,0,1,1,5.0,5.0,0.0,56.0,9.0,0.0,107.0,11.9,210.0,82.0,10.0,1407.0,6.7,16.0,11.0,0.0,84.0,7.6,104.0,64.0,3.0,477.0,4.6,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Donnel Pumphrey,Running Back,San Diego State,Mountain West,68.0,176.0,4.48,5.0,33.5,117.0,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,27.0,27.0,0.0,231.0,8.6,349.0,79.0,17.0,2133.0,6.1,40.0,28.0,3.0,416.0,14.9,309.0,72.0,17.0,1653.0,5.3,31.0,23.0,0.0,160.0,7.0,276.0,93.0,20.0,1867.0,6.8,23.0,22.0,2.0,234.0,10.6,125.0,72.0,8.0,752.0,6.0,2017,,,,,,,,,
Jamaal Williams,Running Back,BYU,FBS Independents,72.0,212.0,4.59,,30.0,123.0,7.25,4.53,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,39.0,7.0,0.0,80.0,11.4,234.0,62.0,12.0,1375.0,5.9,,,,,,,,,,,28.0,8.0,0.0,47.0,5.9,109.0,31.0,4.0,518.0,4.8,15.0,18.0,0.0,125.0,6.9,217.0,70.0,7.0,1233.0,5.7,2017,,,,,,,,,
Wayne Gallman,Running Back,Clemson,ACC,73.0,215.0,4.6,21.0,29.5,120.0,7.17,4.28,22.0,3,0,1,1,1,0,0,2.0,2.0,0.0,18.0,20.0,0.0,152.0,7.6,232.0,59.0,17.0,1133.0,4.9,39.0,21.0,1.0,213.0,10.1,283.0,66.0,13.0,1527.0,5.4,18.0,24.0,1.0,108.0,4.5,161.0,34.0,4.0,769.0,4.8,,,,,,,,,,,2017,,,,,,,,,
Marlon Mack,Running Back,South Florida,American Athletic,71.0,213.0,4.5,15.0,35.5,125.0,,,21.0,3,1,1,1,0,0,0,4.0,3.0,0.0,37.0,28.0,0.0,227.0,8.1,174.0,85.0,15.0,1187.0,6.8,20.0,16.0,1.0,111.0,6.9,210.0,59.0,8.0,1381.0,6.6,19.0,21.0,0.0,160.0,7.6,202.0,75.0,9.0,1041.0,5.2,,,,,,,,,,,2017,,,,,,,,,
