name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
O.J. Howard,Tight End,Alabama,SEC,78.0,251.0,4.51,22.0,30.0,121.0,6.85,4.16,22.0,4,1,1,1,1,0,0,,,,68.0,45.0,3.0,595.0,13.2,,,,,,63.0,38.0,2.0,602.0,15.8,,,,,,53.0,17.0,0.0,260.0,15.3,,,,,,52.0,14.0,2.0,269.0,19.2,,,,,,2017,,,,,,,,,
Evan Engram,Tight End,Ole Miss,SEC,75.0,234.0,4.42,19.0,36.0,125.0,6.92,4.23,23.0,4,0,1,1,1,1,0,,,,63.0,65.0,8.0,926.0,14.2,,,,,,36.0,38.0,2.0,464.0,12.2,,,,,,83.0,38.0,2.0,662.0,17.4,,,,,,64.0,21.0,3.0,268.0,12.8,,,,,,2017,,,,,,,,,
David Njoku,Tight End,Miami,ACC,76.0,246.0,4.64,21.0,37.5,133.0,6.97,4.34,21.0,2,0,1,1,0,0,0,,,,76.0,43.0,8.0,698.0,16.2,,,,,,58.0,21.0,1.0,362.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Gerald Everett,Tight End,South Alabama,Sun Belt,75.0,239.0,4.62,22.0,37.5,126.0,6.99,4.33,23.0,2,0,0,0,1,1,0,1.0,0.0,0.0,79.0,49.0,4.0,717.0,14.6,,,,,,57.0,41.0,8.0,575.0,14.0,8.0,3.0,4.0,7.0,0.9,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Michael Roberts,Tight End,Toledo,Mid-American,76.0,270.0,4.86,,30.0,110.0,7.05,4.51,23.0,3,0,0,1,1,1,0,,,,41.0,45.0,16.0,533.0,11.8,,,,,,26.0,21.0,4.0,234.0,11.1,,,,,,36.0,4.0,2.0,65.0,16.3,,,,,,,,,,,,,,,,2017,,,,,,,,,
Jake Butt,Tight End,Michigan,Big Ten,78.0,246.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,37.0,46.0,4.0,546.0,11.9,,,,,,56.0,51.0,3.0,654.0,12.8,0.0,2.0,0.0,2.0,0.0,29.0,21.0,2.0,211.0,10.0,,,,,,37.0,20.0,2.0,235.0,11.8,,,,,,2017,,,,,,,,,
George Kittle,Tight End,Iowa,Big Ten,76.0,247.0,4.52,18.0,35.0,132.0,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,51.0,22.0,4.0,314.0,14.3,,,,,,43.0,20.0,6.0,290.0,14.5,,,,,,25.0,1.0,0.0,25.0,25.0,,,,,,47.0,5.0,0.0,108.0,21.6,,,,,,2017,,,,,,,,,
Jordan Leggett,Tight End,Clemson,ACC,78.0,258.0,,18.0,33.0,114.0,7.12,4.33,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,56.0,46.0,7.0,736.0,16.0,,,,,,34.0,40.0,8.0,525.0,13.1,,,,,,21.0,14.0,1.0,161.0,11.5,,,,,,44.0,12.0,2.0,176.0,14.7,,,,,,2017,,,,,,,,,
Jeremy Sprinkle,Tight End,Arkansas,SEC,77.0,252.0,4.69,,29.0,116.0,,,23.0,4,0,1,1,1,1,0,,,,31.0,33.0,4.0,380.0,11.5,,,,,,42.0,27.0,6.0,389.0,14.4,1.0,4.0,0.0,4.0,4.0,17.0,7.0,1.0,84.0,12.0,,,,,,44.0,4.0,0.0,68.0,17.0,1.0,1.0,0.0,1.0,1.0,2017,,,,,,,,,
Bucky Hodges,Tight End,Virginia Tech,ACC,78.0,257.0,4.57,18.0,39.0,134.0,,4.45,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,42.0,48.0,7.0,691.0,14.4,9.0,15.0,0.0,42.0,4.7,46.0,40.0,6.0,530.0,13.3,5.0,16.0,1.0,27.0,5.4,50.0,45.0,7.0,526.0,11.7,7.0,5.0,0.0,20.0,2.9,,,,,,,,,,,2017,,,,,,,,,
