name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Corey Davis,Wide Receiver,Western Michigan,Mid-American,75.0,209.0,,,,,,,22.0,4,1,1,1,1,0,0,,,,,,,,,70.0,97.0,19.0,1500.0,15.5,1.0,0.0,0.0,0.0,0.0,80.0,90.0,12.0,1436.0,16.0,1.0,11.0,0.0,11.0,11.0,,,,,,75.0,78.0,15.0,1408.0,18.1,,,,,,0.0,0.0,1.0,0.0,0.0,75.0,67.0,6.0,941.0,14.0,1.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Mike Williams,Wide Receiver,Clemson,ACC,76.0,218.0,,15.0,32.5,121.0,,,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,,,,,,50.0,98.0,11.0,1361.0,13.9,,,,,,16.0,2.0,1.0,20.0,10.0,,,,,,,,,,,56.0,57.0,6.0,1030.0,18.1,,,,,,,,,,,30.0,20.0,3.0,316.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
John Ross,Wide Receiver,Washington,Pac-12,71.0,188.0,4.22,,37.0,133.0,,,21.0,4,1,1,1,0,0,0,3.0,2.0,1.0,,,,,,70.0,81.0,17.0,1150.0,14.2,8.0,32.0,1.0,102.0,12.8,,,,,,,,,,,24.7,100.0,38.0,2.0,938.0,91.0,17.0,4.0,371.0,21.8,6.0,32.0,1.0,54.0,9.0,24.2,92.0,17.0,1.0,411.0,57.0,16.0,1.0,208.0,13.0,6.0,15.0,0.0,39.0,6.5,,,,,,,,,,,,,,,,23.2,100.0,31.0,1.0,720.0,5.3,10.0,4.0,0.0,21.0,2017,,,,,,,,,
Curtis Samuel,Wide Receiver,Ohio State,Big Ten,71.0,196.0,4.31,18.0,37.0,119.0,7.09,4.33,21.0,3,1,1,1,0,0,0,2.0,0.0,0.0,,,,,,79.0,74.0,7.0,865.0,11.7,97.0,74.0,8.0,771.0,7.9,40.0,22.0,2.0,289.0,13.1,17.0,40.0,1.0,132.0,7.8,20.5,38.0,12.0,0.0,246.0,30.0,11.0,0.0,95.0,8.6,58.0,34.0,6.0,383.0,6.6,,,,,,,,,,,,,,,,3.2,12.0,6.0,0.0,19.0,23.0,38.0,9.0,0.0,207.0,,,,,,,,,,,,,,,,2017,,,,,,,,,
JuJu Smith-Schuster,Wide Receiver,USC,Pac-12,73.0,215.0,4.54,15.0,32.5,120.0,,,20.0,3,1,1,0,0,0,0,,,,,,,,,67.0,70.0,10.0,914.0,13.1,5.0,20.0,0.0,27.0,5.4,75.0,89.0,10.0,1454.0,16.3,1.0,4.0,0.0,4.0,4.0,12.0,22.0,11.0,0.0,132.0,53.0,54.0,5.0,724.0,13.4,2.0,2.0,0.0,3.0,1.5,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,12.8,27.0,4.0,0.0,51.0,,,,,,,,,,,,,,,,2017,,,,,,,,,
Taywan Taylor,Wide Receiver,Western Kentucky,Conference USA,71.0,203.0,4.5,13.0,33.5,132.0,6.57,4.21,22.0,4,1,1,1,1,0,0,2.0,1.0,1.0,,,,,,80.0,98.0,17.0,1730.0,17.7,6.0,16.0,0.0,36.0,6.0,78.0,86.0,17.0,1467.0,17.1,7.0,10.0,0.0,-9.0,-1.3,13.5,25.0,6.0,0.0,81.0,75.0,45.0,7.0,767.0,17.0,1.0,11.0,0.0,11.0,11.0,,,,,,45.0,24.0,0.0,270.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
ArDarius Stewart,Wide Receiver,Alabama,SEC,71.0,204.0,4.49,,34.0,124.0,,,23.0,3,0,0,1,1,1,0,1.0,1.0,0.0,,,,,,71.0,54.0,8.0,864.0,16.0,8.0,25.0,0.0,68.0,8.5,38.0,63.0,4.0,700.0,11.1,5.0,8.0,0.0,14.0,2.8,,,,,,40.0,12.0,0.0,149.0,12.4,,,,,,20.1,30.0,8.0,0.0,161.0,,,,,,,,,,,,,,,,10.0,16.0,3.0,0.0,30.0,,,,,,,,,,,,,,,,2017,,,,,,,,,
Carlos Henderson,Wide Receiver,Louisiana Tech,Conference USA,71.0,199.0,4.46,13.0,36.0,131.0,7.18,4.35,22.0,3,0,1,1,1,0,0,,,,,,,,,83.0,82.0,19.0,1535.0,18.7,14.0,35.0,2.0,133.0,9.5,55.0,36.0,5.0,774.0,21.5,5.0,19.0,0.0,54.0,10.8,25.0,96.0,33.0,1.0,826.0,72.0,29.0,4.0,569.0,19.6,13.0,27.0,1.0,70.0,5.4,32.2,92.0,25.0,2.0,805.0,,,,,,,,,,,,,,,,22.0,57.0,21.0,0.0,463.0,,,,,,,,,,,,,,,,2017,,,,,,,,,
Chris Godwin,Wide Receiver,Penn State,Big Ten,73.0,209.0,4.42,19.0,36.0,126.0,7.01,4.0,21.0,3,1,1,1,0,0,0,,,,,,,,,72.0,59.0,11.0,982.0,16.6,1.0,13.0,0.0,13.0,13.0,56.0,69.0,5.0,1101.0,16.0,,,,,,,,,,,72.0,26.0,2.0,338.0,13.0,2.0,1.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Kenny Golladay,Wide Receiver,Northern Illinois,Mid-American,76.0,218.0,4.5,18.0,35.5,120.0,7.0,4.15,23.0,2,0,0,0,1,1,0,1.0,1.0,0.0,,,,,,49.0,88.0,8.0,1164.0,13.2,20.0,39.0,2.0,192.0,9.6,68.0,73.0,10.0,1129.0,15.5,9.0,6.0,1.0,14.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Amara Darboh,Wide Receiver,Michigan,Big Ten,74.0,214.0,4.45,17.0,36.0,124.0,,,23.0,3,0,0,1,1,1,0,,,,11.0,11.0,1.0,0.0,11.0,46.0,57.0,7.0,862.0,15.1,,,,,,39.0,58.0,5.0,727.0,12.5,2.0,4.0,0.0,2.0,1.0,,,,,,34.0,36.0,2.0,473.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,3.0,0.0,12.0,,,,,,,,,,,2017,,,,,,,,,
Dede Westbrook,Wide Receiver,Oklahoma,Big 12,72.0,178.0,,,,,,,23.0,2,0,0,0,1,1,0,1.0,1.0,0.0,,,,,,88.0,80.0,17.0,1524.0,19.1,10.0,35.0,0.0,101.0,10.1,42.0,46.0,4.0,743.0,16.2,5.0,18.0,0.0,17.0,3.4,,,,,,,,,,,,,,,,27.1,63.0,9.0,0.0,244.0,,,,,,,,,,,16.2,71.0,5.0,1.0,81.0,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
