season,playerId,player,position,team,conference,category,statType,stat
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,PD,10
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,QB HUR,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,SACKS,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,SOLO,15
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,TD,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,TFL,0.5
2025,2094390,Michael Dansby,DB,Arizona,Big 12,defensive,TOT,19
2025,2094390,Michael Dansby,DB,Arizona,Big 12,fumbles,FUM,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,fumbles,LOST,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,fumbles,REC,1
2025,2094390,Michael Dansby,DB,Arizona,Big 12,interceptions,AVG,0.5
2025,2094390,Michael Dansby,DB,Arizona,Big 12,interceptions,INT,2
2025,2094390,Michael Dansby,DB,Arizona,Big 12,interceptions,TD,0
2025,2094390,Michael Dansby,DB,Arizona,Big 12,interceptions,YDS,1
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,PD,0
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,QB HUR,0
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,SACKS,0
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,SOLO,1
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,TD,0
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,TFL,0
2025,4039307,Marquez Stevenson,WR,Texas Tech,Big 12,defensive,TOT,1
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,PD,2
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,QB HUR,0
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,SACKS,1
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,SOLO,13
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,TD,0
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,TFL,2.5
2025,4243265,Aliki Vimahi,DT,Utah,Big 12,defensive,TOT,29
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,PD,1
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,QB HUR,0
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,SACKS,0
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,SOLO,4
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,TD,0
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,TFL,0
2025,4361000,Moroni Anae,LB,Utah,Big 12,defensive,TOT,12
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,PD,0
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,QB HUR,2
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,SACKS,2
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,SOLO,3
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,TD,0
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,TFL,2
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,defensive,TOT,6
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,interceptions,AVG,0.0
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,interceptions,INT,1
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,interceptions,TD,0
2025,4426967,Anthonie Cooper,DL,Arizona State,Big 12,interceptions,YDS,0
2025,4427017,Levani Damuni,LB,Utah,Big 12,defensive,PD,0
2025,4427017,Levani Damuni,LB,Utah,Big 12,defensive,QB HUR,1
2025,4427017,Levani Damuni,LB,Utah,Big 12,defensive,SACKS,1
2025,4427017,Levani Damuni,LB,Utah,Big 12,defensive,SOLO,23
2025,4427017,Levani Damuni,LB,Utah,Big 12,defensive,TD,0
