season,playerId,player,position,team,conference,category,statType,stat
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,kickReturns,AVG,5.0
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,kickReturns,LONG,5
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,kickReturns,NO,1
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,kickReturns,TD,0
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,kickReturns,YDS,5
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,rushing,CAR,9
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,rushing,LONG,12
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,rushing,TD,0
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,rushing,YDS,48
2025,4366640,Solomon Vanhorse,RB,Indiana,Big Ten,rushing,YPC,5.3
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,PD,0
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,QB HUR,9
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,SACKS,2.5
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,SOLO,14
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,TD,0
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,TFL,5.0
2025,4427117,Quindarius Dunnigan,DL,Michigan State,Big Ten,defensive,TOT,25
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,PD,1
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,QB HUR,1
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,SACKS,0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,SOLO,51
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,TD,0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,TFL,3.0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,defensive,TOT,77
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,fumbles,FUM,0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,fumbles,LOST,0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,fumbles,REC,1
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,interceptions,AVG,20.0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,interceptions,INT,2
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,interceptions,TD,0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,interceptions,YDS,40
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,puntReturns,AVG,10.0
2025,4427135,Jett Elad,DB,Rutgers,Big Ten,puntReturns,LONG,10
