collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
530308.0,46810,52,Florida State,ACC,27,Tampa Bay,2015,1,1,1,Jameis Winston,Quarterback,76.0,231,1.0,1.0,97.0
511459.0,46814,2483,Oregon,Pac-12,10,Tennessee,2015,2,1,2,Marcus Mariota,Quarterback,76.0,222,5.0,2.0,93.0
2980100.0,46813,57,Florida,SEC,30,Jacksonville,2015,3,1,3,Dante Fowler Jr.,Defensive End,75.0,261,4.0,2.0,93.0
534458.0,46812,333,Alabama,SEC,13,Las Vegas,2015,4,1,4,Amari Cooper,Wide Receiver,73.0,211,3.0,1.0,94.0
500839.0,46815,2294,Iowa,Big Ten,28,Washington,2015,5,1,5,Brandon Scherff,Offensive Tackle,77.0,319,6.0,1.0,93.0
531014.0,46811,30,USC,Pac-12,20,New York,2015,6,1,6,Leonard Williams,Defensive End,77.0,302,2.0,1.0,96.0
546052.0,46816,277,West Virginia,Big 12,3,Chicago,2015,7,1,7,Kevin White,Wide Receiver,75.0,215,7.0,2.0,93.0
-1007369.0,46834,228,Clemson,ACC,1,Atlanta,2015,8,1,8,Vic Beasley,Outside Linebacker,75.0,246,25.0,3.0,89.0
-1019743.0,46822,2390,Miami,ACC,19,New York,2015,9,1,9,Ereck Flowers,Offensive Tackle,78.0,329,13.0,3.0,90.0
-1011711.0,46817,61,Georgia,SEC,14,Los Angeles,2015,10,1,10,Todd Gurley,Running Back,73.0,222,8.0,1.0,92.0
512727.0,46819,127,Michigan State,Big Ten,16,Minnesota,2015,11,1,11,Trae Waynes,Cornerback,72.0,186,10.0,1.0,91.0
513065.0,46823,264,Washington,Pac-12,5,Cleveland,2015,12,1,12,Danny Shelton,Defensive Tackle,74.0,339,14.0,1.0,90.0
-1033012.0,46820,24,Stanford,Pac-12,18,New Orleans,2015,13,1,13,Andrus Peat,Offensive Tackle,79.0,313,11.0,2.0,91.0
511615.0,46818,97,Louisville,ACC,15,Miami,2015,14,1,14,DeVante Parker,Wide Receiver,75.0,209,9.0,3.0,92.0
514218.0,46826,275,Wisconsin,Big Ten,24,Los Angeles,2015,15,1,15,Melvin Gordon,Running Back,73.0,215,17.0,2.0,90.0
500547.0,46824,154,Wake Forest,ACC,34,Houston,2015,16,1,16,Kevin Johnson,Cornerback,72.0,188,15.0,3.0,90.0
-1028443.0,46821,2483,Oregon,Pac-12,25,San Francisco,2015,17,1,17,Arik Armstead,Defensive End,79.0,292,12.0,3.0,91.0
513059.0,46830,264,Washington,Pac-12,12,Kansas City,2015,18,1,18,Marcus Peters,Cornerback,72.0,197,21.0,2.0,90.0
-1010963.0,46825,52,Florida State,ACC,5,Cleveland,2015,19,1,19,Cameron Erving,Center,78.0,313,16.0,1.0,90.0
531010.0,46832,30,USC,Pac-12,21,Philadelphia,2015,20,1,20,Nelson Agholor,Wide Receiver,72.0,198,23.0,5.0,89.0
-1035153.0,46844,245,Texas A&M,SEC,4,Cincinnati,2015,21,1,21,Cedric Ogbuehi,Offensive Tackle,77.0,306,35.0,5.0,88.0
517448.0,46833,96,Kentucky,SEC,23,Pittsburgh,2015,22,1,22,Bud Dupree,Outside Linebacker,76.0,269,24.0,2.0,89.0
-1022444.0,46840,142,Missouri,SEC,7,Denver,2015,23,1,23,Shane Ray,Outside Linebacker,75.0,245,31.0,5.0,88.0
-1009832.0,46841,57,Florida,SEC,22,Arizona,2015,24,1,24,D.J. Humphries,Offensive Tackle,77.0,307,32.0,6.0,88.0
535329.0,46878,264,Washington,Pac-12,29,Carolina,2015,25,1,25,Shaq Thompson,Outside Linebacker,72.0,228,69.0,8.0,78.0
531670.0,46829,2116,UCF,American Athletic,33,Baltimore,2015,26,1,26,Breshad Perriman,Wide Receiver,74.0,212,20.0,4.0,90.0
502300.0,46846,41,UConn,American Athletic,6,Dallas,2015,27,1,27,Byron Jones,Cornerback,73.0,199,37.0,4.0,88.0
-1008795.0,46862,150,Duke,ACC,8,Detroit,2015,28,1,28,Laken Tomlinson,Offensive Guard,75.0,323,53.0,1.0,82.0
517570.0,46836,2390,Miami,ACC,11,Indianapolis,2015,29,1,29,Phillip Dorsett,Wide Receiver,70.0,185,27.0,6.0,88.0
546460.0,46847,9,Arizona State,Pac-12,9,Green Bay,2015,30,1,30,Damarious Randall,Safety,71.0,196,38.0,2.0,87.0
511197.0,46859,228,Clemson,ACC,18,New Orleans,2015,31,1,31,Stephone Anthony,Inside Linebacker,75.0,243,50.0,3.0,83.0
-1034782.0,46828,251,Texas,Big 12,17,New England,2015,32,1,32,Malcom Brown,Defensive Tackle,74.0,319,19.0,2.0,90.0
535742.0,46842,333,Alabama,SEC,19,New York,2015,33,2,1,Landon Collins,Safety,72.0,228,33.0,1.0,88.0
-1029135.0,46856,213,Penn State,Big Ten,27,Tampa Bay,2015,34,2,2,Donovan Smith,Offensive Tackle,78.0,338,47.0,9.0,84.0
530290.0,46857,52,Florida State,ACC,13,Las Vegas,2015,35,2,3,Mario Edwards Jr.,Defensive End,75.0,279,48.0,5.0,84.0
534409.0,46873,333,Alabama,SEC,30,Jacksonville,2015,36,2,4,T.J. Yeldon,Running Back,73.0,226,64.0,4.0,79.0
514181.0,46837,194,Ohio State,Big Ten,20,New York,2015,37,2,5,Devin Smith,Wide Receiver,72.0,196,28.0,7.0,88.0
