name,position,jersey,height,weight,experience,college
Anthony Aguirre,WR,47,"6' 4""",205 lbs,Junior,Ole Miss Rebels
Trace Bruckler,TE,85,"6' 3""",245 lbs,Senior,Ole Miss Rebels
Trinidad Chambliss,QB,6,"6' 1""",200 lbs,Senior,Ole Miss Rebels
Logan Diggs,RB,22,"6' 1""",215 lbs,Senior,Ole Miss Rebels
Trey Hall,RB,25,"5' 11""",185 lbs,Junior,Ole Miss Rebels
George Hamsley,QB,23,"6' 5""",220 lbs,Junior,Ole Miss Rebels
Izaiah Hartrup,WR,15,"6' 0""",180 lbs,Senior,Ole Miss Rebels
Luke Hasz,TE,9,"6' 3""",240 lbs,Junior,Ole Miss Rebels
Shawqi Itraish,QB,20,"6' 3""",215 lbs,Senior,Ole Miss Rebels
Patrick Kutas,OL,75,"6' 5""",315 lbs,Junior,Ole Miss Rebels
Cayden Lee,WR,19,"5' 11""",175 lbs,Junior,Ole Miss Rebels
Percy Lewis,OL,73,"6' 7""",355 lbs,Senior,Ole Miss Rebels
Mac Owen,WR,86,"6' 0""",185 lbs,Junior,Ole Miss Rebels
Joshua Pfeifer,WR,82,"6' 1""",185 lbs,Senior,Ole Miss Rebels
Diego Pounds,OL,61,"6' 6""",340 lbs,Senior,Ole Miss Rebels
Devin Price,WR,88,"6' 3""",195 lbs,Senior,Ole Miss Rebels
Traylon Ray,WR,7,"6' 1""",195 lbs,Junior,Ole Miss Rebels
Tyler Banks,LB,38,"6' 2""",245 lbs,Senior,Ole Miss Rebels
Cedrick Beavers,CB,13,"5' 10""",175 lbs,Junior,Ole Miss Rebels
Tahj Chambers,LB,26,"6' 2""",225 lbs,Senior,Ole Miss Rebels
Raymond Collins,LB,34,"6' 1""",235 lbs,Junior,Ole Miss Rebels
Nick Cull,S,29,"5' 11""",180 lbs,Junior,Ole Miss Rebels
TJ Dottery,LB,6,"6' 1""",225 lbs,Junior,Ole Miss Rebels
Ricky Fletcher,CB,9,"6' 3""",200 lbs,Junior,Ole Miss Rebels
Chris Graves Jr.,CB,32,"6' 0""",185 lbs,Junior,Ole Miss Rebels
Kapena Gushiken,S,14,"6' 0""",185 lbs,Senior,Ole Miss Rebels
Zxavian Harris,DT,51,"6' 7""",320 lbs,Senior,Ole Miss Rebels
Caleb James,DT,99,"5' 11""",300 lbs,Senior,Ole Miss Rebels
Andrew Jones,LB,44,"6' 2""",220 lbs,Senior,Ole Miss Rebels
Antonio Kite,CB,8,"6' 0""",180 lbs,Junior,Ole Miss Rebels
Suntarine Perkins,LB,4,"6' 1""",210 lbs,Junior,Ole Miss Rebels
Tavion Prather,DT,94,"6' 3""",285 lbs,Senior,Ole Miss Rebels
Sage Ryan,S,3,"5' 11""",200 lbs,Senior,Ole Miss Rebels
Jon Seaton,DT,92,"6' 1""",300 lbs,Senior,Ole Miss Rebels
Jalen Ballard,PK,46,"6' 2""",195 lbs,Junior,Ole Miss Rebels
Lucas Carneiro,PK,17,"5' 11""",190 lbs,Junior,Ole Miss Rebels
Carter Short,LS,93,"5' 9""",195 lbs,Senior,Ole Miss Rebels
Dillon Bell,WR,86,"6' 1""",210 lbs,Senior,Georgia Bulldogs
Luke Bennett,WR,29,"5' 11""",175 lbs,Junior,Georgia Bulldogs
Drew Bobo,OL,74,"6' 5""",305 lbs,Junior,Georgia Bulldogs
Zachariah Branch,WR,1,"5' 10""",180 lbs,Junior,Georgia Bulldogs
Danny Curran,WR,46,"6' 1""",190 lbs,Junior,Georgia Bulldogs
Oscar Delp,TE,4,"6' 5""",245 lbs,Senior,Georgia Bulldogs
Monroe Freeling,OL,57,"6' 7""",315 lbs,Junior,Georgia Bulldogs
Earnest Greene III,OL,71,"6' 4""",320 lbs,Junior,Georgia Bulldogs
Jacob Hardie,RB,45,"5' 9""",180 lbs,Junior,Georgia Bulldogs
Gannon Hearst,RB,30,"6' 0""",200 lbs,Junior,Georgia Bulldogs
Patrick Hester,TE,42,"6' 5""",260 lbs,Junior,Georgia Bulldogs
London Humphreys,WR,16,"6' 2""",200 lbs,Junior,Georgia Bulldogs
Cooper Johnson,TE,48,"6' 4""",225 lbs,Junior,Georgia Bulldogs
Cash Jones,RB,32,"6' 0""",182 lbs,Senior,Georgia Bulldogs
Lawson Luckie,TE,7,"6' 4""",240 lbs,Junior,Georgia Bulldogs
Brandon Mathis,RB,38,"6' 0""",215 lbs,Junior,Georgia Bulldogs
Josh McCray,RB,2,"6' 1""",235 lbs,Senior,Georgia Bulldogs
Micah Morris,OL,56,"6' 4""",330 lbs,Senior,Georgia Bulldogs
Joenel Aguero,DB,8,"5' 11""",205 lbs,Junior,Georgia Bulldogs
CJ Allen,LB,3,"6' 1""",235 lbs,Junior,Georgia Bulldogs
Zion Branch,S,2,"6' 2""",210 lbs,Junior,Georgia Bulldogs
Daylen Everette,DB,6,"6' 1""",190 lbs,Senior,Georgia Bulldogs
Jacob Fleming,S,35,"5' 11""",190 lbs,Junior,Georgia Bulldogs
Terrell Foster,LB,30,"6' 1""",220 lbs,Junior,Georgia Bulldogs
Ali Hall,DB,43,"6' 1""",201 lbs,Senior,Georgia Bulldogs
Jordan Hall,DL,44,"6' 4""",320 lbs,Junior,Georgia Bulldogs
Daniel Harris,DB,7,"6' 3""",195 lbs,Junior,Georgia Bulldogs
Jaden Harris,S,12,"6' 0""",200 lbs,Junior,Georgia Bulldogs
Gabe Harris Jr.,LB,0,"6' 4""",260 lbs,Junior,Georgia Bulldogs
Adrian Maddox,S,14,"6' 1""",200 lbs,Senior,Georgia Bulldogs
Christen Miller,DL,52,"6' 4""",305 lbs,Junior,Georgia Bulldogs
