season,playerId,player,position,team,conference,category,statType,stat
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,PD,0
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,QB HUR,2
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,SACKS,1
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,SOLO,10
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,TD,0
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,TFL,1.5
2025,4429101,Jordan Botelho,DL,Notre Dame,FBS Independents,defensive,TOT,20
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,PD,1
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,QB HUR,4
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,SACKS,0.5
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,SOLO,10
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,TD,0
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,TFL,3.5
2025,4429531,Jared Dawson,DL,Notre Dame,FBS Independents,defensive,TOT,20
2025,4431513,Tyler Buchner,WR,Notre Dame,FBS Independents,rushing,CAR,1
2025,4431513,Tyler Buchner,WR,Notre Dame,FBS Independents,rushing,LONG,3
2025,4431513,Tyler Buchner,WR,Notre Dame,FBS Independents,rushing,TD,0
2025,4431513,Tyler Buchner,WR,Notre Dame,FBS Independents,rushing,YDS,3
2025,4431513,Tyler Buchner,WR,Notre Dame,FBS Independents,rushing,YPC,3.0
2025,4431533,Gabriel Rubio,DL,Notre Dame,FBS Independents,defensive,PD,1
2025,4431533,Gabriel Rubio,DL,Notre Dame,FBS Independents,defensive,QB HUR,1
2025,4431533,Gabriel Rubio,DL,Notre Dame,FBS Independents,defensive,SACKS,0.5
2025,4431533,Gabriel Rubio,DL,Notre Dame,FBS Independents,defensive,SOLO,5
