rank,name,college,position,height,weight,class
1,Fernando Mendoza,Indiana,QB,"6'5""",236,RJR
2,Arvell Reese,Ohio State,EDGE,"6'4""",241,JR
3,Jeremiyah Love,Notre Dame,RB,"6'0""",212,JR
4,Sonny Styles,Ohio State,OLB,"6'5""",244,SR
5,Caleb Downs,Ohio State,S,"6'0""",206,JR
6,Francis Mauigoa,Miami (FL),OT,"6'6""",329,JR
7,David Bailey,Texas Tech,EDGE,"6'4""",251,SR
8,Mansoor Delane,LSU,CB,"6'0""",187,SR
9,Carnell Tate,Ohio State,WR,"6'2""",192,JR
10,Kenyon Sadiq,Oregon,TE,"6'3""",241,JR
11,Rueben Bain Jr.,Miami (FL),EDGE,"6'2""",263,JR
12,Makai Lemon,USC,WR,"5'11""",192,JR
13,Spencer Fano,Utah,OT,"6'6""",311,JR
14,Olaivavega Ioane,Penn State,OG,"6'4""",320,RJR
15,Jordyn Tyson,Arizona State,WR,"6'2""",203,RJR
16,T.J. Parker,Clemson,EDGE,"6'4""",263,JR
17,Keldric Faulk,Auburn,EDGE,"6'6""",276,JR
18,Dillon Thieneman,Oregon,S,"6'0""",201,JR
19,Ty Simpson,Alabama,QB,"6'1""",211,RJR
20,Monroe Freeling,Georgia,OT,"6'7""",315,JR
21,Jermod McCoy,Tennessee,CB,"6'1""",188,JR
22,Denzel Boston,Washington,WR,"6'4""",212,RJR
23,Caleb Lomu,Utah,OT,"6'6""",313,RSO
24,Peter Woods,Clemson,DL3T,"6'2""",298,JR
25,Chris Johnson,San Diego State,CB,"6'0""",193,SR
26,Kadyn Proctor,Alabama,OT,"6'7""",352,JR
27,Colton Hood,Tennessee,CB,"6'0""",193,RSO
28,Emmanuel McNeil-Warren,Toledo,S,"6'3""",201,SR
29,Cashius Howell,Texas A&M,EDGE,"6'2""",253,RSR
30,Max Iheanachor,Arizona State,OT,"6'6""",321,RSR
31,Omar Cooper Jr.,Indiana,WR,"6'0""",199,RJR
32,Akheem Mesidor,Miami (FL),EDGE,"6'3""",259,RSR
33,Lee Hunter,Texas Tech,DL1T,"6'3""",318,RSR
34,Kevin Concepcion,Texas A&M,WR,"6'0""",196,JR
35,Avieon Terrell,Clemson,CBN,"5'11""",186,JR
36,Brandon Cisse,South Carolina,CB,"6'0""",189,JR
37,Blake Miller,Clemson,OT,"6'7""",317,SR
38,C.J. Allen,Georgia,OLB,"6'1""",230,JR
39,Romello Height,Texas Tech,EDGE,"6'3""",239,RSR
40,Christen Miller,Georgia,DL1T,"6'4""",321,RJR
41,Gabe Jacas,Illinois,EDGE,"6'4""",260,SR
42,Eli Stowers,Vanderbilt,TE,"6'4""",239,RSR
43,Anthony Hill Jr.,Texas,ILB,"6'2""",238,JR
44,Emmanuel Pregnon,Oregon,OG,"6'4""",314,RSR
45,D'Angelo Ponds,Indiana,CBN,"5'9""",182,JR
46,R Mason Thomas,Oklahoma,EDGE,"6'2""",241,SR
47,Caleb Banks,Florida,DL1T,"6'6""",327,RSR
48,Jadarian Price,Notre Dame,RB,"5'11""",203,RJR
49,Zachariah Branch,Georgia,WR,"5'9""",177,JR
50,Dani Dennis-Sutton,Penn State,EDGE,"6'6""",256,SR
51,Chris Bell,Louisville,WR,"6'2""",222,SR
52,Keith Abney II,Arizona State,CBN,"5'10""",187,JR
53,Zion Young,Missouri,EDGE,"6'6""",262,SR
54,Jacob Rodriguez,Texas Tech,ILB,"6'1""",231,RSR
55,Germie Bernard,Alabama,WR,"6'1""",206,SR
56,Jake Golday,Cincinnati,OLB,"6'4""",239,RSR
57,Chris Brazzell II,Tennessee,WR,"6'4""",198,RJR
58,Chase Bisontis,Texas A&M,OG,"6'5""",315,JR
59,Kayden McDonald,Ohio State,DL1T,"6'2""",326,JR
60,Malachi Lawrence,UCF,EDGE,"6'4""",253,RSR
