season,playerId,player,position,team,conference,category,statType,stat
2025,3116099,Monte Harrison,WR,Arkansas,SEC,receiving,LONG,29
2025,3116099,Monte Harrison,WR,Arkansas,SEC,receiving,REC,1
2025,3116099,Monte Harrison,WR,Arkansas,SEC,receiving,TD,0
2025,3116099,Monte Harrison,WR,Arkansas,SEC,receiving,YDS,29
2025,3116099,Monte Harrison,WR,Arkansas,SEC,receiving,YPR,29.0
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,PD,0
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,QB HUR,0
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,SACKS,2
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,SOLO,4
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,TD,0
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,TFL,4.5
2025,4251322,Will Whitson,DL,Mississippi State,SEC,defensive,TOT,8
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,ATT,5
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,COMPLETIONS,2
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,INT,0
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,PCT,0.400
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,TD,0
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,YDS,27
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,passing,YPA,5.4
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,In 20,23
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,LONG,62
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,NO,59
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,TB,9
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,YDS,2627
2025,4426752,Jack Bouwmeester,P,Texas,SEC,punting,YPP,44.5
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,ATT,58
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,COMPLETIONS,28
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,INT,2
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,PCT,0.483
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,TD,0
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,YDS,238
2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,YPA,4.1
2025,4426847,Zach Calzada,QB,Kentucky,SEC,rushing,CAR,14
2025,4426847,Zach Calzada,QB,Kentucky,SEC,rushing,LONG,22
2025,4426847,Zach Calzada,QB,Kentucky,SEC,rushing,TD,1
2025,4426847,Zach Calzada,QB,Kentucky,SEC,rushing,YDS,23
2025,4426847,Zach Calzada,QB,Kentucky,SEC,rushing,YPC,1.6
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,PD,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,QB HUR,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,SACKS,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,SOLO,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,TD,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,TFL,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,defensive,TOT,1
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,receiving,LONG,19
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,receiving,REC,8
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,receiving,TD,0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,receiving,YDS,72
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,receiving,YPR,9.0
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,rushing,CAR,41
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,rushing,LONG,23
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,rushing,TD,1
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,rushing,YDS,140
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,rushing,YPC,3.4
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,PD,1
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,QB HUR,7
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,SACKS,4
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,SOLO,11
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,TD,0
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,TFL,4.5
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,defensive,TOT,28
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,interceptions,AVG,11.0
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,interceptions,INT,1
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,interceptions,TD,0
2025,4428925,Zaylin Wood,DL,Vanderbilt,SEC,interceptions,YDS,11
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,PD,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,QB HUR,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,SACKS,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,SOLO,1
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,TD,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,TFL,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,defensive,TOT,1
2025,4429079,Luke Doty,WR,South Carolina,SEC,fumbles,FUM,1
2025,4429079,Luke Doty,WR,South Carolina,SEC,fumbles,LOST,1
2025,4429079,Luke Doty,WR,South Carolina,SEC,fumbles,REC,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,ATT,30
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,COMPLETIONS,19
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,INT,1
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,PCT,0.633
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,TD,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,YDS,153
2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,YPA,5.1
2025,4429079,Luke Doty,WR,South Carolina,SEC,rushing,CAR,9
2025,4429079,Luke Doty,WR,South Carolina,SEC,rushing,LONG,10
2025,4429079,Luke Doty,WR,South Carolina,SEC,rushing,TD,0
2025,4429079,Luke Doty,WR,South Carolina,SEC,rushing,YDS,20
2025,4429079,Luke Doty,WR,South Carolina,SEC,rushing,YPC,2.2
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,PD,0
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,QB HUR,2
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,SACKS,0
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,SOLO,5
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,TD,0
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,TFL,1.5
2025,4429094,Demon Clowney,LB,South Carolina,SEC,defensive,TOT,6
2025,4429103,Javian Hester,WR,Kentucky,SEC,receiving,LONG,41
2025,4429103,Javian Hester,WR,Kentucky,SEC,receiving,REC,8
2025,4429103,Javian Hester,WR,Kentucky,SEC,receiving,TD,4
2025,4429103,Javian Hester,WR,Kentucky,SEC,receiving,YDS,117
2025,4429103,Javian Hester,WR,Kentucky,SEC,receiving,YPR,14.6
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,PD,0
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,QB HUR,1
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,SACKS,0
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,SOLO,6
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,TD,0
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,TFL,0
2025,4429114,Zykeivous Walker,DL,Auburn,SEC,defensive,TOT,9
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,PD,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,QB HUR,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,SACKS,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,SOLO,6
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,TD,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,TFL,2
2025,4429123,Jay Hardy,DL,Auburn,SEC,defensive,TOT,11
2025,4429123,Jay Hardy,DL,Auburn,SEC,fumbles,FUM,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,fumbles,LOST,0
2025,4429123,Jay Hardy,DL,Auburn,SEC,fumbles,REC,1
2025,4429124,Jacobian Guillory,DT,LSU,SEC,defensive,PD,0
2025,4429124,Jacobian Guillory,DT,LSU,SEC,defensive,QB HUR,1
